benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
alexnet_ad_pure,512,138482,35993,174475,0,0,0,35993,5418,41411,592809,598057,1190866,388.6,58.0,222.6,54770,4.6
alexnet_ad_total,512,138482,35993,174475,229055,52596,281651,35993,58014,94007,592809,598057,1190866,388.6,620.8,505.2,54770,4.6
alexnet_ad_pure,1024,146146,28329,174475,0,0,0,28329,5418,33747,561534,556210,1117744,322.9,62.3,193.2,54770,4.9
alexnet_ad_total,1024,146146,28329,174475,257756,23895,281651,28329,29313,57642,561534,556210,1117744,322.9,337.3,330.1,54770,4.9
alexnet_ad_pure,2048,165743,8732,174475,0,0,0,8732,5418,14150,482521,528697,1011218,115.8,65.6,89.6,54770,5.4
alexnet_ad_total,2048,165743,8732,174475,277982,3669,281651,8732,9087,17819,482521,528697,1011218,115.8,110.0,112.8,54770,5.4
alexnet_ad_pure,4096,170462,4013,174475,0,0,0,4013,5418,9431,463433,526841,990274,55.4,65.8,61.0,54770,5.5
alexnet_ad_total,4096,170462,4013,174475,279507,2144,281651,4013,7562,11575,463433,526841,990274,55.4,91.9,74.8,54770,5.5
alexnet_ad_pure,8192,170743,3732,174475,0,0,0,3732,5418,9150,462151,524231,986382,51.7,66.1,59.4,54770,5.6
alexnet_ad_total,8192,170743,3732,174475,279740,1911,281651,3732,7329,11061,462151,524231,986382,51.7,89.5,71.8,54770,5.6
alexnet_ad_pure,16384,171335,3140,174475,0,0,0,3140,5418,8558,458385,521431,979816,43.8,66.5,55.9,54770,5.6
alexnet_ad_total,16384,171335,3140,174475,280363,1288,281651,3140,6706,9846,458385,521431,979816,43.8,82.3,64.3,54770,5.6
alexnet_orig_pure,512,146387,72032,218419,243959,92462,336421,72032,39866,111898,728600,803390,1531990,632.7,317.6,467.5,0,0.0
alexnet_orig_total,512,146387,72032,218419,243959,92462,336421,72032,92462,164494,728600,803390,1531990,632.7,736.6,687.2,0,0.0
alexnet_orig_pure,1024,153330,65089,218419,272907,63514,336421,65089,39619,104708,700641,763015,1463656,594.6,332.3,457.9,0,0.0
alexnet_orig_total,1024,153330,65089,218419,272907,63514,336421,65089,63514,128603,700641,763015,1463656,594.6,532.7,562.3,0,0.0
alexnet_orig_pure,2048,173298,45121,218419,295526,40895,336421,45121,37226,82347,623253,728991,1352244,463.3,326.8,389.7,0,0.0
alexnet_orig_total,2048,173298,45121,218419,295526,40895,336421,45121,40895,86016,623253,728991,1352244,463.3,359.0,407.1,0,0.0
alexnet_orig_pure,4096,179924,38495,218419,299545,36876,336421,38495,34732,73227,597200,722046,1319246,412.5,307.9,355.2,0,0.0
alexnet_orig_total,4096,179924,38495,218419,299545,36876,336421,38495,36876,75371,597200,722046,1319246,412.5,326.9,365.6,0,0.0
alexnet_orig_pure,8192,180569,37850,218419,300254,36167,336421,37850,34256,72106,594755,719535,1314290,407.3,304.7,351.1,0,0.0
alexnet_orig_total,8192,180569,37850,218419,300254,36167,336421,37850,36167,74017,594755,719535,1314290,407.3,321.7,360.4,0,0.0
alexnet_orig_pure,16384,206091,12328,218419,325450,10971,336421,12328,9683,22011,543515,619743,1163258,145.2,100.0,121.1,0,0.0
alexnet_orig_total,16384,206091,12328,218419,325450,10971,336421,12328,10971,23299,543515,619743,1163258,145.2,113.3,128.2,0,0.0
alexnet_ad_pure,131072,173284,1191,174475,0,0,0,1191,5418,6609,448263,517469,965732,17.0,67.0,43.8,54770,5.7
alexnet_ad_total,131072,173284,1191,174475,281124,527,281651,1191,5945,7136,448263,517469,965732,17.0,73.5,47.3,54770,5.7
alexnet_orig_pure,131072,211662,6757,218419,331518,4903,336421,6757,4376,11133,519379,597231,1116610,83.3,46.9,63.8,0,0.0
alexnet_orig_total,131072,211662,6757,218419,331518,4903,336421,6757,4903,11660,519379,597231,1116610,83.3,52.5,66.8,0,0.0
alexnet_ad_pure,32768,173083,1392,174475,0,0,0,1392,5418,6810,449295,520273,969568,19.8,66.6,45.0,54770,5.6
alexnet_ad_total,32768,173083,1392,174475,280644,1007,281651,1392,6425,7817,449295,520273,969568,19.8,79.0,51.6,54770,5.6
alexnet_orig_pure,65536,210360,8059,218419,330813,5608,336421,8059,4987,13046,526029,600269,1126298,98.1,53.2,74.1,0,0.0
alexnet_orig_total,65536,210360,8059,218419,330813,5608,336421,8059,5608,13667,526029,600269,1126298,98.1,59.8,77.7,0,0.0
alexnet_orig_pure,32768,209476,8943,218419,329361,7060,336421,8943,6053,14996,532852,607488,1140340,107.4,63.8,84.2,0,0.0
alexnet_orig_total,32768,209476,8943,218419,329361,7060,336421,8943,7060,16003,532852,607488,1140340,107.4,74.4,89.8,0,0.0
alexnet_ad_pure,65536,173284,1191,174475,0,0,0,1191,5418,6609,448263,517861,966124,17.0,67.0,43.8,54770,5.7
alexnet_ad_total,65536,173284,1191,174475,281030,621,281651,1191,6039,7230,448263,517861,966124,17.0,74.6,47.9,54770,5.7
