benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
gravity_ad_pure,512,61312,36863,98175,0,0,0,36863,12177,49040,907805,1356217,2264022,259.9,57.5,138.6,97920,4.3
gravity_ad_total,512,61312,36863,98175,70112,93343,163455,36863,105520,142383,907805,1356217,2264022,259.9,498.0,402.5,97920,4.3
gravity_ad_pure,1024,61312,36863,98175,0,0,0,36863,12177,49040,907805,1340803,2248608,259.9,58.1,139.6,97920,4.4
gravity_ad_total,1024,61312,36863,98175,80776,82679,163455,36863,94856,131719,907805,1340803,2248608,259.9,452.8,374.9,97920,4.4
gravity_ad_pure,2048,61312,36863,98175,0,0,0,36863,12177,49040,907805,1326873,2234678,259.9,58.7,140.4,97920,4.4
gravity_ad_total,2048,61312,36863,98175,88355,75100,163455,36863,87277,124140,907805,1326873,2234678,259.9,421.0,355.5,97920,4.4
gravity_ad_pure,4096,61312,36863,98175,0,0,0,36863,12177,49040,907805,1325795,2233600,259.9,58.8,140.5,97920,4.4
gravity_ad_total,4096,61312,36863,98175,89544,73911,163455,36863,86088,122951,907805,1325795,2233600,259.9,415.6,352.3,97920,4.4
gravity_ad_pure,8192,61319,36856,98175,0,0,0,36856,12177,49033,907781,1321143,2228924,259.8,59.0,140.8,97920,4.4
gravity_ad_total,8192,61319,36856,98175,91685,71770,163455,36856,83947,120803,907781,1321143,2228924,259.8,406.7,346.9,97920,4.4
gravity_ad_pure,16384,61352,36823,98175,0,0,0,36823,12177,49000,907709,1313557,2221266,259.6,59.3,141.2,97920,4.4
gravity_ad_total,16384,61352,36823,98175,94282,69173,163455,36823,81350,118173,907709,1313557,2221266,259.6,396.4,340.5,97920,4.4
gravity_orig_pure,512,84194,46621,130815,67411,193964,261375,46621,100621,147242,1037341,1720181,2757522,287.6,374.4,341.7,0,0.0
gravity_orig_total,512,84194,46621,130815,67411,193964,261375,46621,193964,240585,1037341,1720181,2757522,287.6,721.7,558.4,0,0.0
gravity_orig_pure,1024,88446,42369,130815,102370,159005,261375,42369,76326,118695,1033364,1592614,2625978,262.4,306.7,289.3,0,0.0
gravity_orig_total,1024,88446,42369,130815,102370,159005,261375,42369,159005,201374,1033364,1592614,2625978,262.4,639.0,490.8,0,0.0
gravity_orig_pure,2048,89572,41243,130815,126907,134468,261375,41243,59368,100611,1032380,1496606,2528986,255.7,253.9,254.6,0,0.0
gravity_orig_total,2048,89572,41243,130815,126907,134468,261375,41243,134468,175711,1032380,1496606,2528986,255.7,575.0,444.7,0,0.0
gravity_orig_pure,4096,89764,41051,130815,133863,127512,261375,41051,53601,94652,1032380,1471868,2504248,254.5,233.1,241.9,0,0.0
gravity_orig_total,4096,89764,41051,130815,133863,127512,261375,41051,127512,168563,1032380,1471868,2504248,254.5,554.5,430.8,0,0.0
gravity_orig_pure,8192,89865,40950,130815,140978,120397,261375,40950,48627,89577,1032349,1446433,2478782,253.9,215.2,231.3,0,0.0
gravity_orig_total,8192,89865,40950,130815,140978,120397,261375,40950,120397,161347,1032349,1446433,2478782,253.9,532.7,416.6,0,0.0
gravity_orig_pure,16384,89903,40912,130815,148012,113363,261375,40912,44190,85102,1031772,1417232,2449004,253.8,199.6,222.4,0,0.0
gravity_orig_total,16384,89903,40912,130815,148012,113363,261375,40912,113363,154275,1031772,1417232,2449004,253.8,511.9,403.2,0,0.0
gravity_ad_pure,131072,63327,34848,98175,0,0,0,34848,12177,47025,906036,1280440,2186476,246.2,60.9,137.6,97920,4.5
gravity_ad_total,131072,63327,34848,98175,106430,57025,163455,34848,69202,104050,906036,1280440,2186476,246.2,345.9,304.6,97920,4.5
gravity_orig_pure,131072,91882,38933,130815,161666,99709,261375,38933,42684,81617,1025191,1378159,2403350,243.1,198.2,217.3,0,0.0
gravity_orig_total,131072,91882,38933,130815,161666,99709,261375,38933,99709,138642,1025191,1378159,2403350,243.1,463.0,369.2,0,0.0
gravity_ad_pure,32768,61449,36726,98175,0,0,0,36726,12177,48903,907593,1307709,2215302,259.0,59.6,141.3,97920,4.4
gravity_ad_total,32768,61449,36726,98175,96437,67018,163455,36726,79195,115921,907593,1307709,2215302,259.0,387.6,334.9,97920,4.4
gravity_ad_pure,65536,89951,8224,98175,0,0,0,8224,12177,20401,883089,1146657,2029746,59.6,68.0,64.3,97920,4.8
gravity_ad_total,65536,89951,8224,98175,155239,8216,163455,8224,20393,28617,883089,1146657,2029746,59.6,113.8,90.2,97920,4.8
gravity_orig_pure,32768,90009,40806,130815,153323,108052,261375,40806,41034,81840,1031447,1396375,2427822,253.2,188.1,215.7,0,0.0
gravity_orig_total,32768,90009,40806,130815,153323,108052,261375,40806,108052,148858,1031447,1396375,2427822,253.2,495.2,392.4,0,0.0
gravity_orig_pure,65536,118511,12304,130815,241427,19948,261375,12304,11732,24036,928647,1227533,2156180,84.8,61.2,71.3,0,0.0
gravity_orig_total,65536,118511,12304,130815,241427,19948,261375,12304,19948,32252,928647,1227533,2156180,84.8,104.0,95.7,0,0.0
