benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
logsum_ad_pure,512,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,512,8751,1250,10001,16256,3746,20002,1250,5090,6340,61368,138522,199890,130.4,235.2,203.0,11250,5.6
logsum_ad_pure,1024,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,1024,8751,1250,10001,16256,3746,20002,1250,5090,6340,61368,138522,199890,130.4,235.2,203.0,11250,5.6
logsum_ad_pure,2048,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,2048,8751,1250,10001,16258,3744,20002,1250,5088,6338,61368,138522,199890,130.4,235.1,202.9,11250,5.6
logsum_ad_pure,4096,8751,1250,10001,0,0,0,1250,1344,2594,61368,138522,199890,130.4,62.1,83.1,11250,5.6
logsum_ad_total,4096,8751,1250,10001,16263,3739,20002,1250,5083,6333,61368,138522,199890,130.4,234.9,202.8,11250,5.6
logsum_ad_pure,8192,8751,1250,10001,0,0,0,1250,1344,2594,61368,137514,198882,130.4,62.6,83.5,11250,5.7
logsum_ad_total,8192,8751,1250,10001,16390,3612,20002,1250,4956,6206,61368,137514,198882,130.4,230.7,199.7,11250,5.7
logsum_ad_pure,16384,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,16384,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_orig_pure,512,8595,2656,11251,24963,6289,31252,2656,2543,5199,62197,162025,224222,273.3,100.5,148.4,0,0.0
logsum_orig_total,512,8595,2656,11251,24963,6289,31252,2656,6289,8945,62197,162025,224222,273.3,248.4,255.3,0,0.0
logsum_orig_pure,1024,8595,2656,11251,24978,6274,31252,2656,2528,5184,62197,161969,224166,273.3,99.9,148.0,0,0.0
logsum_orig_total,1024,8595,2656,11251,24978,6274,31252,2656,6274,8930,62197,161969,224166,273.3,247.9,255.0,0,0.0
logsum_orig_pure,2048,8595,2656,11251,25002,6250,31252,2656,2506,5162,62197,161969,224166,273.3,99.0,147.4,0,0.0
logsum_orig_total,2048,8595,2656,11251,25002,6250,31252,2656,6250,8906,62197,161969,224166,273.3,247.0,254.3,0,0.0
logsum_orig_pure,4096,8595,2656,11251,25000,6252,31252,2656,2513,5169,62197,161969,224166,273.3,99.3,147.6,0,0.0
logsum_orig_total,4096,8595,2656,11251,25000,6252,31252,2656,6252,8908,62197,161969,224166,273.3,247.1,254.3,0,0.0
logsum_orig_pure,8192,8595,2656,11251,25086,6166,31252,2656,2554,5210,62197,161591,223788,273.3,101.2,149.0,0,0.0
logsum_orig_total,8192,8595,2656,11251,25086,6166,31252,2656,6166,8822,62197,161591,223788,273.3,244.2,252.3,0,0.0
logsum_orig_pure,16384,8595,2656,11251,26235,5017,31252,2656,2518,5174,62197,151119,213316,273.3,106.7,155.3,0,0.0
logsum_orig_total,16384,8595,2656,11251,26235,5017,31252,2656,5017,7673,62197,151119,213316,273.3,212.5,230.2,0,0.0
logsum_ad_pure,131072,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,131072,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_orig_pure,131072,8595,2656,11251,28003,3249,31252,2656,750,3406,62197,143839,206036,273.3,33.4,105.8,0,0.0
logsum_orig_total,131072,8595,2656,11251,28003,3249,31252,2656,3249,5905,62197,143839,206036,273.3,144.6,183.4,0,0.0
logsum_ad_pure,32768,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,32768,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_ad_pure,65536,8751,1250,10001,0,0,0,1250,1344,2594,61368,126902,188270,130.4,67.8,88.2,11250,6.0
logsum_ad_total,65536,8751,1250,10001,17503,2499,20002,1250,3843,5093,61368,126902,188270,130.4,193.8,173.1,11250,6.0
logsum_orig_pure,32768,8595,2656,11251,26605,4647,31252,2656,2148,4804,62197,148907,211104,273.3,92.3,145.7,0,0.0
logsum_orig_total,32768,8595,2656,11251,26605,4647,31252,2656,4647,7303,62197,148907,211104,273.3,199.8,221.4,0,0.0
logsum_orig_pure,65536,8595,2656,11251,27154,4098,31252,2656,1599,4255,62197,146905,209102,273.3,69.7,130.2,0,0.0
logsum_orig_total,65536,8595,2656,11251,27154,4098,31252,2656,4098,6754,62197,146905,209102,273.3,178.5,206.7,0,0.0
