benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
matd_ad_pure,512,280404,40913,321317,0,0,0,40913,20036,60949,760687,1125075,1885762,344.5,114.1,207.0,160800,8.5
matd_ad_total,512,280404,40913,321317,300752,21256,322008,40913,41292,82205,760687,1125075,1885762,344.5,235.1,279.2,160800,8.5
matd_ad_pure,1024,280417,40900,321317,0,0,0,40900,20036,60936,760687,1124739,1885426,344.4,114.1,207.0,160800,8.5
matd_ad_total,1024,280417,40900,321317,300921,21087,322008,40900,41123,82023,760687,1124739,1885426,344.4,234.2,278.7,160800,8.5
matd_ad_pure,2048,280428,40889,321317,0,0,0,40889,20036,60925,760594,1124132,1884726,344.4,114.2,207.1,160800,8.5
matd_ad_total,2048,280428,40889,321317,301036,20972,322008,40889,41008,81897,760594,1124132,1884726,344.4,233.7,278.4,160800,8.5
matd_ad_pure,4096,280489,40828,321317,0,0,0,40828,20036,60864,754081,1063515,1817596,346.8,120.7,214.5,160800,8.9
matd_ad_total,4096,280489,40828,321317,321222,786,322008,40828,20822,61650,754081,1063515,1817596,346.8,125.4,217.3,160800,8.9
matd_ad_pure,8192,280849,40468,321317,0,0,0,40468,20036,60504,726384,1061658,1788042,356.9,120.9,216.8,160800,9.0
matd_ad_total,8192,280849,40468,321317,321855,153,322008,40468,20189,60657,726384,1061658,1788042,356.9,121.8,217.3,160800,9.0
matd_ad_pure,16384,281112,40205,321317,0,0,0,40205,20036,60241,725359,1061633,1786992,355.1,120.9,216.0,160800,9.0
matd_ad_total,16384,281112,40205,321317,321855,153,322008,40205,20189,60394,725359,1061633,1786992,355.1,121.8,216.5,160800,9.0
matd_orig_pure,512,280754,40963,321717,421378,61430,482808,40963,40174,81137,760820,1499554,2260374,344.8,171.6,229.9,0,0.0
matd_orig_total,512,280754,40963,321717,421378,61430,482808,40963,61430,102393,760820,1499554,2260374,344.8,262.4,290.1,0,0.0
matd_orig_pure,1024,280767,40950,321717,421843,60965,482808,40950,39878,80828,760820,1497398,2258218,344.7,170.6,229.2,0,0.0
matd_orig_total,1024,280767,40950,321717,421843,60965,482808,40950,60965,101915,760820,1497398,2258218,344.7,260.8,289.1,0,0.0
matd_orig_pure,2048,280778,40939,321717,422050,60758,482808,40939,39786,80725,760741,1496399,2257140,344.7,170.3,229.1,0,0.0
matd_orig_total,2048,280778,40939,321717,422050,60758,482808,40939,60758,101697,760741,1496399,2257140,344.7,260.1,288.6,0,0.0
matd_orig_pure,4096,280838,40879,321717,425257,57551,482808,40879,56765,97644,754210,1487964,2242174,347.2,244.3,278.9,0,0.0
matd_orig_total,4096,280838,40879,321717,425257,57551,482808,40879,57551,98430,754210,1487964,2242174,347.2,247.7,281.2,0,0.0
matd_orig_pure,8192,281199,40518,321717,442251,40557,482808,40518,40404,80922,726501,1428229,2154730,357.2,181.2,240.5,0,0.0
matd_orig_total,8192,281199,40518,321717,442251,40557,482808,40518,40557,81075,726501,1428229,2154730,357.2,181.9,241.0,0,0.0
matd_orig_pure,16384,281462,40255,321717,442801,40007,482808,40255,39854,80109,725479,1426143,2151622,355.4,179.0,238.5,0,0.0
matd_orig_total,16384,281462,40255,321717,442801,40007,482808,40255,40007,80262,725479,1426143,2151622,355.4,179.7,238.9,0,0.0
matd_ad_pure,131072,281220,40097,321317,0,0,0,40097,20036,60133,724529,1061581,1786110,354.5,120.9,215.7,160800,9.0
matd_ad_total,131072,281220,40097,321317,321855,153,322008,40097,20189,60286,724529,1061581,1786110,354.5,121.8,216.2,160800,9.0
matd_orig_pure,131072,281570,40147,321717,446252,36556,482808,40147,36403,76550,724690,1415368,2140058,354.8,164.7,229.1,0,0.0
matd_orig_total,131072,281570,40147,321717,446252,36556,482808,40147,36556,76703,724690,1415368,2140058,354.8,165.4,229.6,0,0.0
matd_ad_pure,32768,301129,20188,321317,0,0,0,20188,16004,36192,1324337,1312413,2636750,97.6,78.1,87.9,160800,6.1
matd_ad_total,32768,301129,20188,321317,321903,105,322008,20188,16109,36297,1324337,1312413,2636750,97.6,78.6,88.2,160800,6.1
matd_ad_pure,65536,281201,40116,321317,0,0,0,40116,20036,60152,724541,1061583,1786124,354.7,120.9,215.7,160800,9.0
matd_ad_total,65536,281201,40116,321317,321855,153,322008,40116,20189,60305,724541,1061583,1786124,354.7,121.8,216.3,160800,9.0
matd_orig_pure,32768,301479,20238,321717,462921,19887,482808,20238,19782,40020,1324458,1955004,3279462,97.8,64.8,78.1,0,0.0
matd_orig_total,32768,301479,20238,321717,462921,19887,482808,20238,19887,40125,1324458,1955004,3279462,97.8,65.1,78.3,0,0.0
matd_orig_pure,65536,281551,40166,321717,444193,38615,482808,40166,38462,78628,724690,1421766,2146456,355.0,173.3,234.6,0,0.0
matd_orig_total,65536,281551,40166,321717,444193,38615,482808,40166,38615,78781,724690,1421766,2146456,355.0,174.0,235.1,0,0.0
