benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
sddmm_ad_pure,512,18004,2476,20480,0,0,0,2476,1476,3952,34978,47774,82752,453.1,197.8,305.7,12288,14.9
sddmm_ad_total,512,18004,2476,20480,34790,6170,40960,2476,7646,10122,34978,47774,82752,453.1,1024.5,783.0,12288,14.9
sddmm_ad_pure,1024,18725,1755,20480,0,0,0,1755,1476,3231,33033,45183,78216,340.1,209.1,264.5,12288,15.7
sddmm_ad_total,1024,18725,1755,20480,37132,3828,40960,1755,5304,7059,33033,45183,78216,340.1,751.5,577.8,12288,15.7
sddmm_ad_pure,2048,19243,1237,20480,0,0,0,1237,1476,2713,31342,42618,73960,252.6,221.7,234.8,12288,16.6
sddmm_ad_total,2048,19243,1237,20480,38637,2323,40960,1237,3799,5036,31342,42618,73960,252.6,570.6,435.9,12288,16.6
sddmm_ad_pure,4096,19661,819,20480,0,0,0,819,1476,2295,29674,41752,71426,176.7,226.3,205.7,12288,17.2
sddmm_ad_total,4096,19661,819,20480,39234,1726,40960,819,3202,4021,29674,41752,71426,176.7,491.0,360.4,12288,17.2
sddmm_ad_pure,8192,19664,816,20480,0,0,0,816,1476,2292,29674,41752,71426,176.0,226.3,205.4,12288,17.2
sddmm_ad_total,8192,19664,816,20480,39252,1708,40960,816,3184,4000,29674,41752,71426,176.0,488.2,358.5,12288,17.2
sddmm_ad_pure,16384,19664,816,20480,0,0,0,816,1476,2292,29674,41752,71426,176.0,226.3,205.4,12288,17.2
sddmm_ad_total,16384,19664,816,20480,39252,1708,40960,816,3184,4000,29674,41752,71426,176.0,488.2,358.5,12288,17.2
sddmm_ad_pure,32768,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,32768,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_pure,65536,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,65536,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_pure,131072,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,131072,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_orig_pure,512,16767,16001,32768,32890,20358,53248,16001,14188,30189,78265,116445,194710,1308.6,779.9,992.4,0,0.0
sddmm_orig_total,512,16767,16001,32768,32890,20358,53248,16001,20358,36359,78265,116445,194710,1308.6,1119.0,1195.2,0,0.0
sddmm_orig_pure,1024,17891,14877,32768,36355,16893,53248,14877,13065,27942,71861,112349,184210,1325.2,744.4,970.9,0,0.0
sddmm_orig_total,1024,17891,14877,32768,36355,16893,53248,14877,16893,31770,71861,112349,184210,1325.2,962.5,1103.9,0,0.0
sddmm_orig_pure,2048,19107,13661,32768,37969,15279,53248,13661,12956,26617,75217,109217,184434,1162.5,759.3,923.7,0,0.0
sddmm_orig_total,2048,19107,13661,32768,37969,15279,53248,13661,15279,28940,75217,109217,184434,1162.5,895.4,1004.3,0,0.0
sddmm_orig_pure,4096,19591,13177,32768,38630,14618,53248,13177,12892,26069,72564,108258,180822,1162.3,762.2,922.8,0,0.0
sddmm_orig_total,4096,19591,13177,32768,38630,14618,53248,13177,14618,27795,72564,108258,180822,1162.3,864.3,983.9,0,0.0
sddmm_orig_pure,8192,19619,13149,32768,38893,14355,53248,13149,12647,25796,71078,107280,178358,1184.1,754.6,925.8,0,0.0
sddmm_orig_total,8192,19619,13149,32768,38893,14355,53248,13149,14355,27504,71078,107280,178358,1184.1,856.5,987.1,0,0.0
sddmm_orig_pure,16384,19623,13145,32768,39210,14038,53248,13145,12330,25475,72690,105024,177714,1157.5,751.5,917.5,0,0.0
sddmm_orig_total,16384,19623,13145,32768,39210,14038,53248,13145,14038,27183,72690,105024,177714,1157.5,855.5,979.0,0,0.0
sddmm_orig_pure,131072,31047,1721,32768,52907,341,53248,1721,127,1848,41809,58373,100182,263.5,13.9,118.1,0,0.0
sddmm_orig_total,131072,31047,1721,32768,52907,341,53248,1721,341,2062,41809,58373,100182,263.5,37.4,131.8,0,0.0
sddmm_orig_pure,32768,20210,12558,32768,40795,12453,53248,12558,12239,24797,68224,100138,168362,1178.2,782.3,942.7,0,0.0
sddmm_orig_total,32768,20210,12558,32768,40795,12453,53248,12558,12453,25011,68224,100138,168362,1178.2,796.0,950.9,0,0.0
sddmm_orig_pure,65536,31047,1721,32768,52402,846,53248,1721,632,2353,41855,60539,102394,263.2,66.8,147.1,0,0.0
sddmm_orig_total,65536,31047,1721,32768,52402,846,53248,1721,846,2567,41855,60539,102394,263.2,89.5,160.5,0,0.0
