benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
nn_ad_pure,512,11866,3844,15710,0,0,0,3844,916,4760,54993,64719,119712,447.4,90.6,254.5,7869,6.6
nn_ad_total,512,11866,3844,15710,12813,3024,15837,3844,3940,7784,54993,64719,119712,447.4,389.7,416.2,7869,6.6
nn_ad_pure,1024,11868,3842,15710,0,0,0,3842,916,4758,54947,64877,119824,447.6,90.4,254.2,7869,6.6
nn_ad_total,1024,11868,3842,15710,12834,3003,15837,3842,3919,7761,54947,64877,119824,447.6,386.7,414.6,7869,6.6
nn_ad_pure,2048,11868,3842,15710,0,0,0,3842,916,4758,54942,64672,119614,447.6,90.7,254.6,7869,6.6
nn_ad_total,2048,11868,3842,15710,12849,2988,15837,3842,3904,7746,54942,64672,119614,447.6,386.4,414.5,7869,6.6
nn_ad_pure,4096,11868,3842,15710,0,0,0,3842,916,4758,54942,64518,119460,447.6,90.9,254.9,7869,6.6
nn_ad_total,4096,11868,3842,15710,12890,2947,15837,3842,3863,7705,54942,64518,119460,447.6,383.3,412.9,7869,6.6
nn_ad_pure,8192,12106,3604,15710,0,0,0,3604,916,4520,54104,63522,117626,426.4,92.3,246.0,7869,6.7
nn_ad_total,8192,12106,3604,15710,13064,2773,15837,3604,3689,7293,54104,63522,117626,426.4,371.7,396.9,7869,6.7
nn_ad_pure,16384,13624,2086,15710,0,0,0,2086,916,3002,49250,58660,107910,271.1,100.0,178.1,7869,7.3
nn_ad_total,16384,13624,2086,15710,13862,1975,15837,2086,2891,4977,49250,58660,107910,271.1,315.5,295.2,7869,7.3
nn_orig_pure,512,13937,9613,23550,15781,7954,23735,9613,4930,14543,59619,94617,154236,1032.0,333.5,603.5,0,0.0
nn_orig_total,512,13937,9613,23550,15781,7954,23735,9613,7954,17567,59619,94617,154236,1032.0,538.1,729.0,0,0.0
nn_orig_pure,1024,16812,6738,23550,18419,5316,23735,6738,2313,9051,57738,84822,142560,747.0,174.5,406.4,0,0.0
nn_orig_total,1024,16812,6738,23550,18419,5316,23735,6738,5316,12054,57738,84822,142560,747.0,401.2,541.2,0,0.0
nn_orig_pure,2048,17647,5903,23550,19191,4544,23735,5903,1556,7459,57361,81769,139130,658.7,121.8,343.2,0,0.0
nn_orig_total,2048,17647,5903,23550,19191,4544,23735,5903,4544,10447,57361,81769,139130,658.7,355.7,480.6,0,0.0
nn_orig_pure,4096,18627,4923,23550,19952,3783,23735,4923,836,5759,55913,78541,134454,563.6,68.1,274.2,0,0.0
nn_orig_total,4096,18627,4923,23550,19952,3783,23735,4923,3783,8706,55913,78541,134454,563.6,308.3,414.5,0,0.0
nn_orig_pure,8192,18687,4863,23550,20189,3546,23735,4863,773,5636,56075,77091,133166,555.1,64.2,270.9,0,0.0
nn_orig_total,8192,18687,4863,23550,20189,3546,23735,4863,3546,8409,56075,77091,133166,555.1,294.4,404.2,0,0.0
nn_orig_pure,16384,19633,3917,23550,20752,2983,23735,3917,1008,4925,53462,73824,127286,469.0,87.4,247.7,0,0.0
nn_orig_total,16384,19633,3917,23550,20752,2983,23735,3917,2983,6900,53462,73824,127286,469.0,258.7,347.0,0,0.0
nn_ad_pure,131072,13648,2062,15710,0,0,0,2062,916,2978,49172,58486,107658,268.4,100.3,177.1,7869,7.3
nn_ad_total,131072,13648,2062,15710,13874,1963,15837,2062,2879,4941,49172,58486,107658,268.4,315.1,293.8,7869,7.3
nn_orig_pure,131072,20410,3140,23550,21514,2221,23735,3140,258,3398,50874,68558,119432,395.1,24.1,182.1,0,0.0
nn_orig_total,131072,20410,3140,23550,21514,2221,23735,3140,2221,5361,50874,68558,119432,395.1,207.4,287.3,0,0.0
nn_ad_pure,32768,13647,2063,15710,0,0,0,2063,916,2979,49172,58514,107686,268.6,100.2,177.1,7869,7.3
nn_ad_total,32768,13647,2063,15710,13872,1965,15837,2063,2881,4944,49172,58514,107686,268.6,315.2,293.9,7869,7.3
nn_ad_pure,65536,13648,2062,15710,0,0,0,2062,916,2978,49172,58486,107658,268.4,100.3,177.1,7869,7.3
nn_ad_total,65536,13648,2062,15710,13874,1963,15837,2062,2879,4941,49172,58486,107658,268.4,315.1,293.8,7869,7.3
nn_orig_pure,32768,20251,3299,23550,21086,2649,23735,3299,684,3983,51326,71676,123002,411.5,61.1,207.3,0,0.0
nn_orig_total,32768,20251,3299,23550,21086,2649,23735,3299,2649,5948,51326,71676,123002,411.5,236.6,309.6,0,0.0
nn_orig_pure,65536,20406,3144,23550,21258,2477,23735,3144,514,3658,50877,70487,121364,395.6,46.7,192.9,0,0.0
nn_orig_total,65536,20406,3144,23550,21258,2477,23735,3144,2477,5621,50877,70487,121364,395.6,224.9,296.5,0,0.0
