benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
pathfinder_ad_pure,512,43309,5498,48807,0,0,0,5498,3624,9122,106293,529711,636004,331.0,43.8,91.8,40392,6.4
pathfinder_ad_total,512,43309,5498,48807,104892,64299,169191,5498,67923,73421,106293,529711,636004,331.0,820.7,738.8,40392,6.4
pathfinder_ad_pure,1024,43515,5292,48807,0,0,0,5292,3624,8916,106100,464916,571016,319.2,49.9,99.9,40392,7.1
pathfinder_ad_total,1024,43515,5292,48807,124388,44803,169191,5292,48427,53719,106100,464916,571016,319.2,666.7,602.1,40392,7.1
pathfinder_ad_pure,2048,45352,3455,48807,0,0,0,3455,3624,7079,102403,438373,540776,215.9,52.9,83.8,40392,7.5
pathfinder_ad_total,2048,45352,3455,48807,132775,36416,169191,3455,40040,43495,102403,438373,540776,215.9,584.6,514.8,40392,7.5
pathfinder_ad_pure,4096,45355,3452,48807,0,0,0,3452,3624,7076,102244,375210,477454,216.1,61.8,94.9,40392,8.5
pathfinder_ad_total,4096,45355,3452,48807,149955,19236,169191,3452,22860,26312,102244,375210,477454,216.1,389.9,352.7,40392,8.5
pathfinder_ad_pure,8192,45354,3453,48807,0,0,0,3453,3624,7077,102193,349081,451274,216.3,66.4,100.4,40392,9.0
pathfinder_ad_total,8192,45354,3453,48807,157398,11793,169191,3453,15417,18870,102193,349081,451274,216.3,282.7,267.6,40392,9.0
pathfinder_ad_pure,16384,45353,3454,48807,0,0,0,3454,3624,7078,102356,332552,434908,216.0,69.7,104.2,40392,9.3
pathfinder_ad_total,16384,45353,3454,48807,162046,7145,169191,3454,10769,14223,102356,332552,434908,216.0,207.3,209.3,40392,9.3
pathfinder_orig_pure,512,38437,49574,88011,125448,84135,209583,49574,19836,69410,287539,664837,952376,1103.4,191.0,466.4,0,0.0
pathfinder_orig_total,512,38437,49574,88011,125448,84135,209583,49574,84135,133709,287539,664837,952376,1103.4,809.9,898.5,0,0.0
pathfinder_orig_pure,1024,40668,47343,88011,146059,63524,209583,47343,18721,66064,268266,593866,862132,1129.5,201.8,490.4,0,0.0
pathfinder_orig_total,1024,40668,47343,88011,146059,63524,209583,47343,63524,110867,268266,593866,862132,1129.5,684.6,823.0,0,0.0
pathfinder_orig_pure,2048,41918,46093,88011,155564,54019,209583,46093,17603,63696,255897,562737,818634,1152.8,200.2,498.0,0,0.0
pathfinder_orig_total,2048,41918,46093,88011,155564,54019,209583,46093,54019,100112,255897,562737,818634,1152.8,614.4,782.7,0,0.0
pathfinder_orig_pure,4096,60787,27224,88011,175458,34125,209583,27224,14889,42113,195774,489188,684962,890.0,194.8,393.5,0,0.0
pathfinder_orig_total,4096,60787,27224,88011,175458,34125,209583,27224,34125,61349,195774,489188,684962,890.0,446.5,573.2,0,0.0
pathfinder_orig_pure,8192,73111,14900,88011,192049,17534,209583,14900,5741,20641,166215,429133,595348,573.7,85.6,221.9,0,0.0
pathfinder_orig_total,8192,73111,14900,88011,192049,17534,209583,14900,17534,32434,166215,429133,595348,573.7,261.5,348.7,0,0.0
pathfinder_orig_pure,16384,78559,9452,88011,200626,8957,209583,9452,1812,11264,154213,400073,554286,392.3,29.0,130.1,0,0.0
pathfinder_orig_total,16384,78559,9452,88011,200626,8957,209583,9452,8957,18409,154213,400073,554286,392.3,143.3,212.6,0,0.0
pathfinder_ad_pure,131072,45356,3451,48807,0,0,0,3451,3624,7075,102192,329622,431814,216.1,70.4,104.9,40392,9.4
pathfinder_ad_total,131072,45356,3451,48807,162629,6562,169191,3451,10186,13637,102192,329622,431814,216.1,197.8,202.1,40392,9.4
pathfinder_orig_pure,131072,78885,9126,88011,202755,6828,209583,9126,266,9392,153876,391758,545634,379.6,4.3,110.2,0,0.0
pathfinder_orig_total,131072,78885,9126,88011,202755,6828,209583,9126,6828,15954,153876,391758,545634,379.6,111.6,187.1,0,0.0
pathfinder_ad_pure,32768,45355,3452,48807,0,0,0,3452,3624,7076,102193,329621,431814,216.2,70.4,104.9,40392,9.4
pathfinder_ad_total,32768,45355,3452,48807,162628,6563,169191,3452,10187,13639,102193,329621,431814,216.2,197.8,202.2,40392,9.4
pathfinder_ad_pure,65536,45355,3452,48807,0,0,0,3452,3624,7076,102193,329621,431814,216.2,70.4,104.9,40392,9.4
pathfinder_ad_total,65536,45355,3452,48807,162633,6558,169191,3452,10182,13634,102193,329621,431814,216.2,197.7,202.1,40392,9.4
pathfinder_orig_pure,32768,78879,9132,88011,201554,8029,209583,9132,1466,10598,153541,397441,550982,380.7,23.6,123.1,0,0.0
pathfinder_orig_total,32768,78879,9132,88011,201554,8029,209583,9132,8029,17161,153541,397441,550982,380.7,129.3,199.3,0,0.0
pathfinder_orig_pure,65536,78879,9132,88011,201954,7629,209583,9132,1071,10203,153771,395503,549274,380.1,17.3,118.9,0,0.0
pathfinder_orig_total,65536,78879,9132,88011,201954,7629,209583,9132,7629,16761,153771,395503,549274,380.1,123.5,195.3,0,0.0
