benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
sddmm_ad_pure,512,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,512,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,1024,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,1024,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,2048,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,2048,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,4096,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,4096,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,8192,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,8192,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,16384,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,16384,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,32768,284825,18990,303815,0,0,0,18990,0,18990,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,32768,284825,18990,303815,284825,18989,303814,18990,18989,37979,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_ad_pure,65536,284824,18991,303815,0,0,0,18991,0,18991,2276271,2276289,4552560,53.4,0.0,26.7,303814,6.7
sddmm_ad_total,65536,284824,18991,303815,284825,18989,303814,18991,18989,37980,2276271,2276289,4552560,53.4,53.4,53.4,303814,6.7
sddmm_orig_pure,512,569650,37979,607629,569657,37971,607628,37979,18982,56961,3048350,3363480,6411830,79.7,36.1,56.9,0,0.0
sddmm_orig_total,512,569650,37979,607629,569657,37971,607628,37979,37971,75950,3048350,3363480,6411830,79.7,72.3,75.8,0,0.0
sddmm_orig_pure,1024,569650,37979,607629,569665,37963,607628,37979,18974,56953,3048350,3363172,6411522,79.7,36.1,56.9,0,0.0
sddmm_orig_total,1024,569650,37979,607629,569665,37963,607628,37979,37963,75942,3048350,3363172,6411522,79.7,72.2,75.8,0,0.0
sddmm_orig_pure,2048,569650,37979,607629,569681,37947,607628,37979,18958,56937,3048350,3363046,6411396,79.7,36.1,56.8,0,0.0
sddmm_orig_total,2048,569650,37979,607629,569681,37947,607628,37979,37947,75926,3048350,3363046,6411396,79.7,72.2,75.8,0,0.0
sddmm_orig_pure,4096,569650,37979,607629,569713,37915,607628,37979,18926,56905,3048350,3362920,6411270,79.7,36.0,56.8,0,0.0
sddmm_orig_total,4096,569650,37979,607629,569713,37915,607628,37979,37915,75894,3048350,3362920,6411270,79.7,72.2,75.8,0,0.0
sddmm_orig_pure,8192,569650,37979,607629,569777,37851,607628,37979,18862,56841,3048413,3362325,6410738,79.7,35.9,56.7,0,0.0
sddmm_orig_total,8192,569650,37979,607629,569777,37851,607628,37979,37851,75830,3048413,3362325,6410738,79.7,72.0,75.7,0,0.0
sddmm_orig_pure,16384,569650,37979,607629,569905,37723,607628,37979,18734,56713,3048350,3361366,6409716,79.7,35.7,56.6,0,0.0
sddmm_orig_total,16384,569650,37979,607629,569905,37723,607628,37979,37723,75702,3048350,3361366,6409716,79.7,71.8,75.6,0,0.0
sddmm_orig_pure,32768,569650,37979,607629,570161,37467,607628,37979,18478,56457,3048350,3359154,6407504,79.7,35.2,56.4,0,0.0
sddmm_orig_total,32768,569650,37979,607629,570161,37467,607628,37979,37467,75446,3048350,3359154,6407504,79.7,71.4,75.4,0,0.0
sddmm_orig_pure,65536,569650,37979,607629,570673,36955,607628,37979,17966,55945,3048323,3354687,6403010,79.7,34.3,55.9,0,0.0
sddmm_orig_total,65536,569650,37979,607629,570673,36955,607628,37979,36955,74934,3048323,3354687,6403010,79.7,70.5,74.9,0,0.0
