benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
somier_ad_pure,512,4000,14432,18432,0,0,0,14432,513,14945,81915,45301,127216,1127.8,72.5,752.0,4608,3.6
somier_ad_total,512,4000,14432,18432,7197,11235,18432,14432,11748,26180,81915,45301,127216,1127.8,1660.1,1317.4,4608,3.6
somier_ad_pure,1024,8585,9847,18432,0,0,0,9847,513,10360,67739,36181,103920,930.6,90.8,638.2,4608,4.4
somier_ad_total,1024,8585,9847,18432,11988,6444,18432,9847,6957,16804,67739,36181,103920,930.6,1230.9,1035.1,4608,4.4
somier_ad_pure,2048,13937,4495,18432,0,0,0,4495,513,5008,49903,26073,75976,576.6,125.9,421.9,4608,6.1
somier_ad_total,2048,13937,4495,18432,15649,2783,18432,4495,3296,7791,49903,26073,75976,576.6,809.2,656.4,4608,6.1
somier_ad_pure,4096,16821,1611,18432,0,0,0,1611,513,2124,40240,23010,63250,256.3,142.7,215.0,4608,7.3
somier_ad_total,4096,16821,1611,18432,17671,761,18432,1611,1274,2885,40240,23010,63250,256.3,354.4,292.0,4608,7.3
somier_ad_pure,8192,16821,1611,18432,0,0,0,1611,513,2124,40235,23197,63432,256.3,141.6,214.4,4608,7.3
somier_ad_total,8192,16821,1611,18432,17687,745,18432,1611,1258,2869,40235,23197,63432,256.3,347.2,289.6,4608,7.3
somier_ad_pure,16384,16816,1616,18432,0,0,0,1616,513,2129,39965,23411,63376,258.9,140.3,215.1,4608,7.3
somier_ad_total,16384,16816,1616,18432,17686,746,18432,1616,1259,2875,39965,23411,63376,258.9,344.3,290.5,4608,7.3
somier_orig_pure,512,3209,19831,23040,6158,16882,23040,19831,5647,25478,98912,70780,169692,1283.3,510.7,961.0,0,0.0
somier_orig_total,512,3209,19831,23040,6158,16882,23040,19831,16882,36713,98912,70780,169692,1283.3,1526.7,1384.8,0,0.0
somier_orig_pure,1024,7513,15527,23040,10354,12686,23040,15527,6242,21769,85790,62664,148454,1158.5,637.6,938.6,0,0.0
somier_orig_total,1024,7513,15527,23040,10354,12686,23040,15527,12686,28213,85790,62664,148454,1158.5,1295.8,1216.4,0,0.0
somier_orig_pure,2048,13399,9641,23040,14751,8289,23040,9641,5506,15147,66434,52424,118858,928.9,672.3,815.7,0,0.0
somier_orig_total,2048,13399,9641,23040,14751,8289,23040,9641,8289,17930,66434,52424,118858,928.9,1012.1,965.6,0,0.0
somier_orig_pure,4096,16536,6504,23040,17171,5869,23040,6504,5108,11612,55820,48744,104564,745.8,670.8,710.8,0,0.0
somier_orig_total,4096,16536,6504,23040,17171,5869,23040,6504,5869,12373,55820,48744,104564,745.8,770.7,757.4,0,0.0
somier_orig_pure,8192,16692,6348,23040,17292,5748,23040,6348,5003,11351,55270,47754,103024,735.3,670.7,705.3,0,0.0
somier_orig_total,8192,16692,6348,23040,17292,5748,23040,6348,5748,12096,55270,47754,103024,735.3,770.6,751.6,0,0.0
somier_orig_pure,16384,16725,6315,23040,17380,5660,23040,6315,4914,11229,55265,47549,102814,731.4,661.5,699.1,0,0.0
somier_orig_total,16384,16725,6315,23040,17380,5660,23040,6315,5660,11975,55265,47549,102814,731.4,762.0,745.6,0,0.0
somier_ad_pure,131072,17724,708,18432,0,0,0,708,513,1221,36364,22224,58588,124.7,147.8,133.4,4608,7.9
somier_ad_total,131072,17724,708,18432,18078,354,18432,708,867,1575,36364,22224,58588,124.7,249.8,172.1,4608,7.9
somier_orig_pure,131072,21754,1286,23040,22686,354,23040,1286,0,1286,43214,28870,72084,190.5,0.0,114.2,0,0.0
somier_orig_total,131072,21754,1286,23040,22686,354,23040,1286,354,1640,43214,28870,72084,190.5,78.5,145.6,0,0.0
somier_ad_pure,32768,17068,1364,18432,0,0,0,1364,512,1876,38677,22235,60912,225.8,147.4,197.2,4608,7.6
somier_ad_total,32768,17068,1364,18432,18078,354,18432,1364,866,2230,38677,22235,60912,225.8,249.3,234.4,4608,7.6
somier_ad_pure,65536,17724,708,18432,0,0,0,708,513,1221,36364,22224,58588,124.7,147.8,133.4,4608,7.9
somier_ad_total,65536,17724,708,18432,18078,354,18432,708,867,1575,36364,22224,58588,124.7,249.8,172.1,4608,7.9
somier_orig_pure,32768,19326,3714,23040,20186,2854,23040,3714,2500,6214,49750,36950,86700,477.9,433.1,458.8,0,0.0
somier_orig_total,32768,19326,3714,23040,20186,2854,23040,3714,2854,6568,49750,36950,86700,477.9,494.5,485.0,0,0.0
somier_orig_pure,65536,21754,1286,23040,22443,597,23040,1286,243,1529,43214,29738,72952,190.5,52.3,134.2,0,0.0
somier_orig_total,65536,21754,1286,23040,22443,597,23040,1286,597,1883,43214,29738,72952,190.5,128.5,165.2,0,0.0
