benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
alexnet_ad_pure,512,35749,6966,42715,0,0,0,6966,2218,9184,246710,267494,514204,180.7,53.1,114.3,29170,5.7
alexnet_ad_total,512,35749,6966,42715,63036,11015,74051,6966,13233,20199,246710,267494,514204,180.7,316.6,251.4,29170,5.7
alexnet_ad_pure,1024,37785,4930,42715,0,0,0,4930,2154,7084,235442,248984,484426,134.0,55.4,93.6,29170,6.0
alexnet_ad_total,1024,37785,4930,42715,69511,4540,74051,4930,6694,11624,235442,248984,484426,134.0,172.1,153.6,29170,6.0
alexnet_ad_pure,2048,41907,808,42715,0,0,0,808,2026,2834,203635,237937,441572,25.4,54.5,41.1,29170,6.6
alexnet_ad_total,2048,41907,808,42715,73577,474,74051,808,2500,3308,203635,237937,441572,25.4,67.2,47.9,29170,6.6
alexnet_ad_pure,4096,42134,581,42715,0,0,0,581,1770,2351,202371,237773,440144,18.4,47.6,34.2,29170,6.6
alexnet_ad_total,4096,42134,581,42715,73608,443,74051,581,2213,2794,202371,237773,440144,18.4,59.6,40.6,29170,6.6
alexnet_ad_pure,8192,42142,573,42715,0,0,0,573,1258,1831,202286,237676,439962,18.1,33.9,26.6,29170,6.6
alexnet_ad_total,8192,42142,573,42715,73608,443,74051,573,1701,2274,202286,237676,439962,18.1,45.8,33.1,29170,6.6
alexnet_ad_pure,16384,42158,557,42715,0,0,0,557,234,791,202190,237478,439668,17.6,6.3,11.5,29170,6.6
alexnet_ad_total,16384,42158,557,42715,73636,415,74051,557,649,1206,202190,237478,439668,17.6,17.5,17.6,29170,6.6
alexnet_ad_pure,32768,42178,537,42715,0,0,0,537,0,537,202181,237053,439234,17.0,0.0,7.8,29170,6.6
alexnet_ad_total,32768,42178,537,42715,73708,343,74051,537,343,880,202181,237053,439234,17.0,9.3,12.8,29170,6.6
alexnet_ad_pure,65536,42178,537,42715,0,0,0,537,0,537,202181,236997,439178,17.0,0.0,7.8,29170,6.6
alexnet_ad_total,65536,42178,537,42715,73714,337,74051,537,337,874,202181,236997,439178,17.0,9.1,12.7,29170,6.6
alexnet_orig_pure,512,45204,15855,61059,82067,21154,103221,15855,10139,25994,310114,406376,716490,327.2,159.7,232.2,0,0.0
alexnet_orig_total,512,45204,15855,61059,82067,21154,103221,15855,21154,37009,310114,406376,716490,327.2,333.2,330.6,0,0.0
alexnet_orig_pure,1024,46199,14860,61059,87428,15793,103221,14860,11253,26113,305318,389962,695280,311.5,184.7,240.4,0,0.0
alexnet_orig_total,1024,46199,14860,61059,87428,15793,103221,14860,15793,30653,305318,389962,695280,311.5,259.2,282.2,0,0.0
alexnet_orig_pure,2048,51598,9461,61059,94064,9157,103221,9461,8683,18144,269077,367613,636690,225.0,151.2,182.4,0,0.0
alexnet_orig_total,2048,51598,9461,61059,94064,9157,103221,9461,9157,18618,269077,367613,636690,225.0,159.4,187.2,0,0.0
alexnet_orig_pure,4096,53256,7803,61059,95509,7712,103221,7803,7269,15072,258873,360653,619526,192.9,129.0,155.7,0,0.0
alexnet_orig_total,4096,53256,7803,61059,95509,7712,103221,7803,7712,15515,258873,360653,619526,192.9,136.9,160.3,0,0.0
alexnet_orig_pure,8192,56728,4331,61059,98654,4567,103221,4331,4124,8455,245012,337260,582272,113.1,78.3,92.9,0,0.0
alexnet_orig_total,8192,56728,4331,61059,98654,4567,103221,4331,4567,8898,245012,337260,582272,113.1,86.7,97.8,0,0.0
alexnet_orig_pure,16384,58172,2887,61059,100647,2574,103221,2887,2159,5046,237306,323798,561104,77.9,42.7,57.6,0,0.0
alexnet_orig_total,16384,58172,2887,61059,100647,2574,103221,2887,2574,5461,237306,323798,561104,77.9,50.9,62.3,0,0.0
alexnet_orig_pure,32768,58215,2844,61059,100948,2273,103221,2844,1930,4774,236989,321525,558514,76.8,38.4,54.7,0,0.0
alexnet_orig_total,32768,58215,2844,61059,100948,2273,103221,2844,2273,5117,236989,321525,558514,76.8,45.2,58.6,0,0.0
alexnet_orig_pure,65536,58225,2834,61059,101461,1760,103221,2834,1423,4257,236990,317534,554524,76.5,28.7,49.1,0,0.0
alexnet_orig_total,65536,58225,2834,61059,101461,1760,103221,2834,1760,4594,236990,317534,554524,76.5,35.5,53.0,0,0.0
