benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
gravity_ad_pure,512,61317,36858,98175,0,0,0,36858,12177,49035,914565,1390855,2305420,257.9,56.0,136.1,97920,4.2
gravity_ad_total,512,61317,36858,98175,90313,73142,163455,36858,85319,122177,914565,1390855,2305420,257.9,392.6,339.2,97920,4.2
gravity_ad_pure,1024,61317,36858,98175,0,0,0,36858,12113,48971,914565,1389833,2304398,257.9,55.8,136.0,97920,4.2
gravity_ad_total,1024,61317,36858,98175,90434,73021,163455,36858,85134,121992,914565,1389833,2304398,257.9,392.0,338.8,97920,4.2
gravity_ad_pure,2048,61317,36858,98175,0,0,0,36858,11985,48843,914565,1389945,2304510,257.9,55.2,135.6,97920,4.2
gravity_ad_total,2048,61317,36858,98175,90466,72989,163455,36858,84974,121832,914565,1389945,2304510,257.9,391.3,338.4,97920,4.2
gravity_ad_pure,4096,61317,36858,98175,0,0,0,36858,11729,48587,914565,1388643,2303208,257.9,54.1,135.0,97920,4.3
gravity_ad_total,4096,61317,36858,98175,90606,72849,163455,36858,84578,121436,914565,1388643,2303208,257.9,389.8,337.4,97920,4.3
gravity_ad_pure,8192,61317,36858,98175,0,0,0,36858,11217,48075,914565,1386109,2300674,257.9,51.8,133.7,97920,4.3
gravity_ad_total,8192,61317,36858,98175,91849,71606,163455,36858,82823,119681,914565,1386109,2300674,257.9,382.4,332.9,97920,4.3
gravity_ad_pure,16384,61346,36829,98175,0,0,0,36829,10193,47022,914442,1378882,2293324,257.8,47.3,131.2,97920,4.3
gravity_ad_total,16384,61346,36829,98175,94296,69159,163455,36829,79352,116181,914442,1378882,2293324,257.8,368.3,324.2,97920,4.3
gravity_ad_pure,32768,61449,36726,98175,0,0,0,36726,8145,44871,914260,1372582,2286842,257.1,38.0,125.6,97920,4.3
gravity_ad_total,32768,61449,36726,98175,96436,67019,163455,36726,75164,111890,914260,1372582,2286842,257.1,350.5,313.1,97920,4.3
gravity_ad_pure,65536,61871,36304,98175,0,0,0,36304,4049,40353,913590,1365020,2278610,254.3,19.0,113.3,97920,4.3
gravity_ad_total,65536,61871,36304,98175,99012,64443,163455,36304,68492,104796,913590,1365020,2278610,254.3,321.1,294.3,97920,4.3
gravity_orig_pure,512,89821,40994,130815,74434,186941,261375,40994,113799,154793,1129612,2328610,3458222,232.3,312.8,286.5,0,0.0
gravity_orig_total,512,89821,40994,130815,74434,186941,261375,40994,186941,227935,1129612,2328610,3458222,232.3,513.8,421.8,0,0.0
gravity_orig_pure,1024,89849,40966,130815,123476,137899,261375,40966,64878,105844,1129612,2043024,3172636,232.1,203.2,213.5,0,0.0
gravity_orig_total,1024,89849,40966,130815,123476,137899,261375,40966,137899,178865,1129612,2043024,3172636,232.1,432.0,360.8,0,0.0
gravity_orig_pure,2048,89863,40952,130815,138687,122688,261375,40952,49699,90651,1129143,1948377,3077520,232.1,163.3,188.5,0,0.0
gravity_orig_total,2048,89863,40952,130815,138687,122688,261375,40952,122688,163640,1129143,1948377,3077520,232.1,403.0,340.3,0,0.0
gravity_orig_pure,4096,89870,40945,130815,144427,116948,261375,40945,44099,85044,1129456,1909382,3038838,232.0,147.8,179.1,0,0.0
gravity_orig_total,4096,89870,40945,130815,144427,116948,261375,40945,116948,157893,1129456,1909382,3038838,232.0,392.0,332.5,0,0.0
gravity_orig_pure,8192,89875,40940,130815,146099,115276,261375,40940,43670,84610,1129386,1897202,3026588,232.0,147.3,178.9,0,0.0
gravity_orig_total,8192,89875,40940,130815,146099,115276,261375,40940,115276,156216,1129386,1897202,3026588,232.0,388.9,330.3,0,0.0
gravity_orig_pure,16384,89906,40909,130815,149332,112043,261375,40909,42884,83793,1129202,1875028,3004230,231.9,146.4,178.5,0,0.0
gravity_orig_total,16384,89906,40909,130815,149332,112043,261375,40909,112043,152952,1129202,1875028,3004230,231.9,382.4,325.8,0,0.0
gravity_orig_pure,32768,90009,40806,130815,152536,108839,261375,40806,41820,82626,1129271,1859405,2988676,231.3,143.9,176.9,0,0.0
gravity_orig_total,32768,90009,40806,130815,152536,108839,261375,40806,108839,149645,1129271,1859405,2988676,231.3,374.6,320.5,0,0.0
gravity_orig_pure,65536,90429,40386,130815,155792,105583,261375,40386,41140,81526,1126404,1843190,2969594,229.5,142.8,175.7,0,0.0
gravity_orig_total,65536,90429,40386,130815,155792,105583,261375,40386,105583,145969,1126404,1843190,2969594,229.5,366.6,314.6,0,0.0
