benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
logsum_ad_pure,512,8751,1250,10001,0,0,0,1250,1343,2593,72993,149717,222710,109.6,57.4,74.5,11250,5.1
logsum_ad_total,512,8751,1250,10001,17505,2497,20002,1250,3840,5090,72993,149717,222710,109.6,164.2,146.3,11250,5.1
logsum_ad_pure,1024,8751,1250,10001,0,0,0,1250,1279,2529,72993,149717,222710,109.6,54.7,72.7,11250,5.1
logsum_ad_total,1024,8751,1250,10001,17505,2497,20002,1250,3776,5026,72993,149717,222710,109.6,161.4,144.4,11250,5.1
logsum_ad_pure,2048,8751,1250,10001,0,0,0,1250,1151,2401,72993,149717,222710,109.6,49.2,69.0,11250,5.1
logsum_ad_total,2048,8751,1250,10001,17507,2495,20002,1250,3646,4896,72993,149717,222710,109.6,155.9,140.7,11250,5.1
logsum_ad_pure,4096,8751,1250,10001,0,0,0,1250,895,2145,72993,149675,222668,109.6,38.3,61.7,11250,5.1
logsum_ad_total,4096,8751,1250,10001,17512,2490,20002,1250,3385,4635,72993,149675,222668,109.6,144.8,133.2,11250,5.1
logsum_ad_pure,8192,8751,1250,10001,0,0,0,1250,383,1633,72993,149227,222220,109.6,16.4,47.0,11250,5.1
logsum_ad_total,8192,8751,1250,10001,17570,2432,20002,1250,2815,4065,72993,149227,222220,109.6,120.7,117.1,11250,5.1
logsum_ad_pure,16384,8751,1250,10001,0,0,0,1250,0,1250,72993,140701,213694,109.6,0.0,37.4,11250,5.3
logsum_ad_total,16384,8751,1250,10001,18752,1250,20002,1250,1250,2500,72993,140701,213694,109.6,56.9,74.9,11250,5.3
logsum_ad_pure,32768,8751,1250,10001,0,0,0,1250,0,1250,72993,140701,213694,109.6,0.0,37.4,11250,5.3
logsum_ad_total,32768,8751,1250,10001,18752,1250,20002,1250,1250,2500,72993,140701,213694,109.6,56.9,74.9,11250,5.3
logsum_ad_pure,65536,8751,1250,10001,0,0,0,1250,0,1250,72993,140701,213694,109.6,0.0,37.4,11250,5.3
logsum_ad_total,65536,8751,1250,10001,18752,1250,20002,1250,1250,2500,72993,140701,213694,109.6,56.9,74.9,11250,5.3
logsum_orig_pure,512,9844,1407,11251,27348,3904,31252,1407,1407,2814,77254,194680,271934,116.6,46.3,66.2,0,0.0
logsum_orig_total,512,9844,1407,11251,27348,3904,31252,1407,3904,5311,77254,194680,271934,116.6,128.4,125.0,0,0.0
logsum_orig_pure,1024,9844,1407,11251,27349,3903,31252,1407,1406,2813,77254,194680,271934,116.6,46.2,66.2,0,0.0
logsum_orig_total,1024,9844,1407,11251,27349,3903,31252,1407,3903,5310,77254,194680,271934,116.6,128.3,125.0,0,0.0
logsum_orig_pure,2048,9844,1407,11251,27351,3901,31252,1407,1406,2813,77254,194680,271934,116.6,46.2,66.2,0,0.0
logsum_orig_total,2048,9844,1407,11251,27351,3901,31252,1407,3901,5308,77254,194680,271934,116.6,128.3,124.9,0,0.0
logsum_orig_pure,4096,9844,1407,11251,27354,3898,31252,1407,1408,2815,77254,194680,271934,116.6,46.3,66.3,0,0.0
logsum_orig_total,4096,9844,1407,11251,27354,3898,31252,1407,3898,5305,77254,194680,271934,116.6,128.2,124.9,0,0.0
logsum_orig_pure,8192,9844,1407,11251,27417,3835,31252,1407,1403,2810,77254,194204,271458,116.6,46.2,66.3,0,0.0
logsum_orig_total,8192,9844,1407,11251,27417,3835,31252,1407,3835,5242,77254,194204,271458,116.6,126.4,123.6,0,0.0
logsum_orig_pure,16384,9844,1407,11251,27591,3661,31252,1407,2411,3818,77254,193014,270268,116.6,80.0,90.4,0,0.0
logsum_orig_total,16384,9844,1407,11251,27591,3661,31252,1407,3661,5068,77254,193014,270268,116.6,121.4,120.0,0,0.0
logsum_orig_pure,32768,9844,1407,11251,28802,2450,31252,1407,1200,2607,77254,184922,262176,116.6,41.5,63.6,0,0.0
logsum_orig_total,32768,9844,1407,11251,28802,2450,31252,1407,2450,3857,77254,184922,262176,116.6,84.8,94.2,0,0.0
logsum_orig_pure,65536,9844,1407,11251,29038,2214,31252,1407,964,2371,77254,183284,260538,116.6,33.7,58.2,0,0.0
logsum_orig_total,65536,9844,1407,11251,29038,2214,31252,1407,2214,3621,77254,183284,260538,116.6,77.3,89.0,0,0.0
