benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mass_spring_ad_pure,1024,9304,2052,11356,0,0,0,2052,1332,3384,25987,60895,86882,505.5,140.0,249.3,0,0.0
mass_spring_ad_total,1024,9304,2052,11356,19945,2735,22680,2052,4067,6119,25987,60895,86882,505.5,427.6,450.9,0,0.0
mass_spring_ad_pure,2048,10320,1036,11356,0,0,0,1036,1332,2368,22897,58371,81268,289.6,146.1,186.5,0,0.0
mass_spring_ad_total,2048,10320,1036,11356,21045,1635,22680,1036,2967,4003,22897,58371,81268,289.6,325.4,315.3,0,0.0
mass_spring_ad_pure,4096,10823,533,11356,0,0,0,533,1332,1865,21272,55684,76956,160.4,153.1,155.2,0,0.0
mass_spring_ad_total,4096,10823,533,11356,21885,795,22680,533,2127,2660,21272,55684,76956,160.4,244.5,221.3,0,0.0
mass_spring_ad_pure,8192,10989,367,11356,0,0,0,367,1332,1699,20788,54292,75080,113.0,157.1,144.9,0,0.0
mass_spring_ad_total,8192,10989,367,11356,22309,371,22680,367,1703,2070,20788,54292,75080,113.0,200.8,176.5,0,0.0
mass_spring_ad_pure,16384,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,16384,10992,364,11356,22370,310,22680,364,1642,2006,20781,54033,74814,112.1,194.6,171.7,0,0.0
mass_spring_ad_pure,32768,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,32768,10992,364,11356,22371,309,22680,364,1641,2005,20781,54033,74814,112.1,194.4,171.6,0,0.0
mass_spring_ad_pure,65536,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,65536,10992,364,11356,22371,309,22680,364,1641,2005,20781,54033,74814,112.1,194.4,171.6,0,0.0
mass_spring_ad_pure,131072,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,131072,10992,364,11356,22371,309,22680,364,1641,2005,20781,54033,74814,112.1,194.4,171.6,0,0.0
mass_spring_ad_pure,262144,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,262144,10992,364,11356,22371,309,22680,364,1641,2005,20781,54033,74814,112.1,194.4,171.6,0,0.0
mass_spring_ad_pure,524288,10992,364,11356,0,0,0,364,1332,1696,20781,54033,74814,112.1,157.8,145.1,0,0.0
mass_spring_ad_total,524288,10992,364,11356,22371,309,22680,364,1641,2005,20781,54033,74814,112.1,194.4,171.6,0,0.0
