benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mttkrp_ad_pure,512,16243,4237,20480,0,0,0,4237,1479,5716,11457,16863,28320,2368.9,561.8,1292.9,12288,43.4
mttkrp_ad_total,512,16243,4237,20480,30269,10691,40960,4237,12170,16407,11457,16863,28320,2368.9,4623.0,3711.1,12288,43.4
mttkrp_ad_pure,1024,18523,1957,20480,0,0,0,1957,1416,3373,9331,15979,25310,1343.3,567.6,853.6,12288,48.6
mttkrp_ad_total,1024,18523,1957,20480,38601,2359,40960,1957,3775,5732,9331,15979,25310,1343.3,1513.2,1450.6,12288,48.6
mttkrp_ad_pure,2048,19789,691,20480,0,0,0,691,1287,1978,7937,15833,23770,557.7,520.7,533.1,12288,51.7
mttkrp_ad_total,2048,19789,691,20480,40448,512,40960,691,1799,2490,7937,15833,23770,557.7,727.9,671.1,12288,51.7
mttkrp_ad_pure,4096,19863,617,20480,0,0,0,617,1032,1649,7820,15698,23518,505.4,421.1,449.2,12288,52.3
mttkrp_ad_total,4096,19863,617,20480,40503,457,40960,617,1489,2106,7820,15698,23518,505.4,607.6,573.6,12288,52.3
mttkrp_ad_pure,8192,19863,617,20480,0,0,0,617,519,1136,7820,15614,23434,505.4,212.9,310.5,12288,52.5
mttkrp_ad_total,8192,19863,617,20480,40647,313,40960,617,832,1449,7820,15614,23434,505.4,341.3,396.1,12288,52.5
mttkrp_ad_pure,16384,19863,617,20480,0,0,0,617,0,617,7820,15614,23434,505.4,0.0,168.7,12288,52.5
mttkrp_ad_total,16384,19863,617,20480,40647,313,40960,617,313,930,7820,15614,23434,505.4,128.4,254.2,12288,52.5
mttkrp_ad_pure,32768,19863,617,20480,0,0,0,617,0,617,7820,15614,23434,505.4,0.0,168.7,12288,52.5
mttkrp_ad_total,32768,19863,617,20480,40647,313,40960,617,313,930,7820,15614,23434,505.4,128.4,254.2,12288,52.5
mttkrp_ad_pure,65536,19863,617,20480,0,0,0,617,0,617,7820,15614,23434,505.4,0.0,168.7,12288,52.5
mttkrp_ad_total,65536,19863,617,20480,40647,313,40960,617,313,930,7820,15614,23434,505.4,128.4,254.2,12288,52.5
mttkrp_orig_pure,512,9190,23578,32768,21951,31297,53248,23578,20606,44184,20306,24688,44994,7435.2,5344.7,6288.1,0,0.0
mttkrp_orig_total,512,9190,23578,32768,21951,31297,53248,23578,31297,54875,20306,24688,44994,7435.2,8117.6,7809.7,0,0.0
mttkrp_orig_pure,1024,12161,20607,32768,34140,19108,53248,20607,16749,37356,19871,23891,43762,6641.0,4489.4,5466.4,0,0.0
mttkrp_orig_total,1024,12161,20607,32768,34140,19108,53248,20607,19108,39715,19871,23891,43762,6641.0,5121.8,5811.6,0,0.0
mttkrp_orig_pure,2048,13937,18831,32768,37916,15332,53248,18831,14820,33651,19729,23543,43272,6111.2,4030.4,4979.1,0,0.0
mttkrp_orig_total,2048,13937,18831,32768,37916,15332,53248,18831,15332,34163,19729,23543,43272,6111.2,4169.6,5054.9,0,0.0
mttkrp_orig_pure,4096,15777,16991,32768,39677,13571,53248,16991,13114,30105,19160,23384,42544,5678.7,3591.2,4531.3,0,0.0
mttkrp_orig_total,4096,15777,16991,32768,39677,13571,53248,16991,13571,30562,19160,23384,42544,5678.7,3716.4,4600.1,0,0.0
mttkrp_orig_pure,8192,16818,15950,32768,40202,13046,53248,15950,12733,28683,18789,23083,41872,5435.2,3531.8,4385.9,0,0.0
mttkrp_orig_total,8192,16818,15950,32768,40202,13046,53248,15950,13046,28996,18789,23083,41872,5435.2,3618.6,4433.7,0,0.0
mttkrp_orig_pure,16384,19399,13369,32768,40645,12603,53248,13369,12290,25659,17324,22644,39968,4941.3,3475.2,4110.7,0,0.0
mttkrp_orig_total,16384,19399,13369,32768,40645,12603,53248,13369,12603,25972,17324,22644,39968,4941.3,3563.8,4160.8,0,0.0
mttkrp_orig_pure,32768,19466,13302,32768,42227,11021,53248,13302,10708,24010,17324,22280,39604,4916.3,3077.2,3881.7,0,0.0
mttkrp_orig_total,32768,19466,13302,32768,42227,11021,53248,13302,11021,24323,17324,22280,39604,4916.3,3167.2,3932.3,0,0.0
mttkrp_orig_pure,65536,23568,9200,32768,46354,6894,53248,9200,6581,15781,16930,21470,38400,3479.3,1962.6,2631.3,0,0.0
mttkrp_orig_total,65536,23568,9200,32768,46354,6894,53248,9200,6894,16094,16930,21470,38400,3479.3,2055.9,2683.5,0,0.0
