benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
nn_ad_pure,512,13730,1980,15710,0,0,0,1980,916,2896,80588,76868,157456,157.3,76.3,117.7,7869,5.0
nn_ad_total,512,13730,1980,15710,13827,2010,15837,1980,2926,4906,80588,76868,157456,157.3,243.6,199.4,7869,5.0
nn_ad_pure,1024,13730,1980,15710,0,0,0,1980,852,2832,80588,76868,157456,157.3,70.9,115.1,7869,5.0
nn_ad_total,1024,13730,1980,15710,13833,2004,15837,1980,2856,4836,80588,76868,157456,157.3,237.8,196.6,7869,5.0
nn_ad_pure,2048,13730,1980,15710,0,0,0,1980,724,2704,80584,76872,157456,157.3,60.3,109.9,7869,5.0
nn_ad_total,2048,13730,1980,15710,13841,1996,15837,1980,2720,4700,80584,76872,157456,157.3,226.5,191.1,7869,5.0
nn_ad_pure,4096,13730,1980,15710,0,0,0,1980,468,2448,80519,76797,157316,157.4,39.0,99.6,7869,5.0
nn_ad_total,4096,13730,1980,15710,13856,1981,15837,1980,2449,4429,80519,76797,157316,157.4,204.1,180.2,7869,5.0
nn_ad_pure,8192,13730,1980,15710,0,0,0,1980,0,1980,80519,75775,156294,157.4,0.0,81.1,7869,5.0
nn_ad_total,8192,13730,1980,15710,14017,1820,15837,1980,1820,3800,80519,75775,156294,157.4,153.7,155.6,7869,5.0
nn_ad_pure,16384,14608,1102,15710,0,0,0,1102,0,1102,72315,70693,143008,97.5,0.0,49.3,7869,5.5
nn_ad_total,16384,14608,1102,15710,14835,1002,15837,1102,1002,2104,72315,70693,143008,97.5,90.7,94.2,7869,5.5
nn_ad_pure,32768,14627,1083,15710,0,0,0,1083,0,1083,72147,70497,142644,96.1,0.0,48.6,7869,5.5
nn_ad_total,32768,14627,1083,15710,14851,986,15837,1083,986,2069,72147,70497,142644,96.1,89.5,92.8,7869,5.5
nn_ad_pure,65536,14628,1082,15710,0,0,0,1082,0,1082,72147,70483,142630,96.0,0.0,48.6,7869,5.5
nn_ad_total,65536,14628,1082,15710,14852,985,15837,1082,985,2067,72147,70483,142630,96.0,89.5,92.8,7869,5.5
nn_orig_pure,512,13858,9692,23550,13517,10218,23735,9692,8208,17900,91002,157650,248652,681.7,333.2,460.8,0,0.0
nn_orig_total,512,13858,9692,23550,13517,10218,23735,9692,10218,19910,91002,157650,248652,681.7,414.8,512.5,0,0.0
nn_orig_pure,1024,20512,3038,23550,20601,3134,23735,3038,1130,4168,84462,109226,193688,230.2,66.2,137.7,0,0.0
nn_orig_total,1024,20512,3038,23550,20601,3134,23735,3038,3134,6172,84462,109226,193688,230.2,183.7,204.0,0,0.0
nn_orig_pure,2048,20580,2970,23550,20679,3056,23735,2970,1060,4030,84397,109081,193478,225.2,62.2,133.3,0,0.0
nn_orig_total,2048,20580,2970,23550,20679,3056,23735,2970,3056,6026,84397,109081,193478,225.2,179.3,199.4,0,0.0
nn_orig_pure,4096,20584,2966,23550,20703,3032,23735,2966,1051,4017,84682,109006,193688,224.2,61.7,132.7,0,0.0
nn_orig_total,4096,20584,2966,23550,20703,3032,23735,2966,3032,5998,84682,109006,193688,224.2,178.0,198.2,0,0.0
nn_orig_pure,8192,20586,2964,23550,20890,2845,23735,2964,1025,3989,84347,107801,192148,224.9,60.9,132.9,0,0.0
nn_orig_total,8192,20586,2964,23550,20890,2845,23735,2964,2845,5809,84347,107801,192148,224.9,168.9,193.5,0,0.0
nn_orig_pure,16384,20887,2663,23550,21423,2312,23735,2663,1310,3973,82345,104301,186646,207.0,80.4,136.3,0,0.0
nn_orig_total,16384,20887,2663,23550,21423,2312,23735,2663,2312,4975,82345,104301,186646,207.0,141.9,170.6,0,0.0
nn_orig_pure,32768,21404,2146,23550,21839,1896,23735,2146,910,3056,77678,101884,179562,176.8,57.2,108.9,0,0.0
nn_orig_total,32768,21404,2146,23550,21839,1896,23735,2146,1896,4042,77678,101884,179562,176.8,119.1,144.1,0,0.0
nn_orig_pure,65536,21482,2068,23550,22016,1719,23735,2068,734,2802,76416,100332,176748,173.2,46.8,101.5,0,0.0
nn_orig_total,65536,21482,2068,23550,22016,1719,23735,2068,1719,3787,76416,100332,176748,173.2,109.7,137.1,0,0.0
