benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
pathfinder_ad_pure,512,45042,3765,48807,0,0,0,3765,3625,7390,173819,813655,987474,138.6,28.5,47.9,41580,4.2
pathfinder_ad_total,512,45042,3765,48807,111133,52712,163845,3765,56337,60102,173819,813655,987474,138.6,443.1,389.5,41580,4.2
pathfinder_ad_pure,1024,45093,3714,48807,0,0,0,3714,3561,7275,173618,728638,902256,136.9,31.3,51.6,41580,4.6
pathfinder_ad_total,1024,45093,3714,48807,125453,38392,163845,3714,41953,45667,173618,728638,902256,136.9,368.5,323.9,41580,4.6
pathfinder_ad_pure,2048,45142,3665,48807,0,0,0,3665,3433,7098,173450,594630,768080,135.2,37.0,59.1,41580,5.4
pathfinder_ad_total,2048,45142,3665,48807,145457,18388,163845,3665,21821,25486,173450,594630,768080,135.2,234.9,212.4,41580,5.4
pathfinder_ad_pure,4096,46306,2501,48807,0,0,0,2501,3177,5678,168739,519667,688406,94.9,39.1,52.8,41580,6.0
pathfinder_ad_total,4096,46306,2501,48807,156566,7279,163845,2501,10456,12957,168739,519667,688406,94.9,128.8,120.5,41580,6.0
pathfinder_ad_pure,8192,46306,2501,48807,0,0,0,2501,2666,5167,168642,511630,680272,94.9,33.4,48.6,41580,6.1
pathfinder_ad_total,8192,46306,2501,48807,157921,5924,163845,2501,8590,11091,168642,511630,680272,94.9,107.5,104.3,41580,6.1
pathfinder_ad_pure,16384,46306,2501,48807,0,0,0,2501,1641,4142,168642,511630,680272,94.9,20.5,39.0,41580,6.1
pathfinder_ad_total,16384,46306,2501,48807,157936,5909,163845,2501,7550,10051,168642,511630,680272,94.9,94.4,94.6,41580,6.1
pathfinder_ad_pure,32768,46306,2501,48807,0,0,0,2501,0,2501,168739,511533,680272,94.9,0.0,23.5,41580,6.1
pathfinder_ad_total,32768,46306,2501,48807,157936,5909,163845,2501,5909,8410,168739,511533,680272,94.9,73.9,79.1,41580,6.1
pathfinder_ad_pure,65536,46306,2501,48807,0,0,0,2501,0,2501,168739,511533,680272,94.9,0.0,23.5,41580,6.1
pathfinder_ad_total,65536,46306,2501,48807,157936,5909,163845,2501,5909,8410,168739,511533,680272,94.9,73.9,79.1,41580,6.1
pathfinder_orig_pure,512,40199,47812,88011,129068,76357,205425,47812,23645,71457,435964,1140518,1576482,701.9,132.7,290.1,0,0.0
pathfinder_orig_total,512,40199,47812,88011,129068,76357,205425,47812,76357,124169,435964,1140518,1576482,701.9,428.5,504.1,0,0.0
pathfinder_orig_pure,1024,43120,44891,88011,149005,56420,205425,44891,18028,62919,415222,1013476,1428698,691.9,113.8,281.9,0,0.0
pathfinder_orig_total,1024,43120,44891,88011,149005,56420,205425,44891,56420,101311,415222,1013476,1428698,691.9,356.3,453.8,0,0.0
pathfinder_orig_pure,2048,56614,31397,88011,166867,38558,205425,31397,20170,51567,347866,885196,1233062,577.7,145.8,267.7,0,0.0
pathfinder_orig_total,2048,56614,31397,88011,166867,38558,205425,31397,38558,69955,347866,885196,1233062,577.7,278.8,363.1,0,0.0
pathfinder_orig_pure,4096,77715,10296,88011,192912,12513,205425,10296,5234,15530,264359,685427,949786,249.3,48.9,104.6,0,0.0
pathfinder_orig_total,4096,77715,10296,88011,192912,12513,205425,10296,12513,22809,264359,685427,949786,249.3,116.8,153.7,0,0.0
pathfinder_orig_pure,8192,79847,8164,88011,197686,7739,205425,8164,1815,9979,256035,657393,913428,204.1,17.7,69.9,0,0.0
pathfinder_orig_total,8192,79847,8164,88011,197686,7739,205425,8164,7739,15903,256035,657393,913428,204.1,75.3,111.4,0,0.0
pathfinder_orig_pure,16384,80308,7703,88011,197908,7517,205425,7703,1608,9311,254195,655593,909788,193.9,15.7,65.5,0,0.0
pathfinder_orig_total,16384,80308,7703,88011,197908,7517,205425,7703,7517,15220,254195,655593,909788,193.9,73.4,107.1,0,0.0
pathfinder_orig_pure,32768,80311,7700,88011,198098,7327,205425,7700,1418,9118,254208,654796,909004,193.9,13.9,64.2,0,0.0
pathfinder_orig_total,32768,80311,7700,88011,198098,7327,205425,7700,7327,15027,254208,654796,909004,193.9,71.6,105.8,0,0.0
pathfinder_orig_pure,65536,80311,7700,88011,198503,6922,205425,7700,1013,8713,253899,651213,905112,194.1,10.0,61.6,0,0.0
pathfinder_orig_total,65536,80311,7700,88011,198503,6922,205425,7700,6922,14622,253899,651213,905112,194.1,68.0,103.4,0,0.0
