benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
sddmm_ad_pure,512,18996,1484,20480,0,0,0,1484,1479,2963,72846,93878,166724,130.4,100.8,113.8,12288,7.4
sddmm_ad_total,512,18996,1484,20480,36925,4035,40960,1484,5514,6998,72846,93878,166724,130.4,376.0,268.7,12288,7.4
sddmm_ad_pure,1024,19853,627,20480,0,0,0,627,1416,2043,67122,85546,152668,59.8,106.0,85.7,12288,8.1
sddmm_ad_total,1024,19853,627,20480,40008,952,40960,627,2368,2995,67122,85546,152668,59.8,177.2,125.6,12288,8.1
sddmm_ad_pure,2048,19901,579,20480,0,0,0,579,1287,1866,66364,84610,150974,55.8,97.4,79.1,12288,8.1
sddmm_ad_total,2048,19901,579,20480,40365,595,40960,579,1882,2461,66364,84610,150974,55.8,142.4,104.3,12288,8.1
sddmm_ad_pure,4096,20268,212,20480,0,0,0,212,1032,1244,63162,83276,146438,21.5,79.3,54.4,12288,8.4
sddmm_ad_total,4096,20268,212,20480,40744,216,40960,212,1248,1460,63162,83276,146438,21.5,95.9,63.8,12288,8.4
sddmm_ad_pure,8192,20348,132,20480,0,0,0,132,519,651,62447,82899,145346,13.5,40.1,28.7,12288,8.5
sddmm_ad_total,8192,20348,132,20480,40825,135,40960,132,654,786,62447,82899,145346,13.5,50.5,34.6,12288,8.5
sddmm_ad_pure,16384,20348,132,20480,0,0,0,132,0,132,62447,82899,145346,13.5,0.0,5.8,12288,8.5
sddmm_ad_total,16384,20348,132,20480,40827,133,40960,132,133,265,62447,82899,145346,13.5,10.3,11.7,12288,8.5
sddmm_ad_pure,32768,20348,132,20480,0,0,0,132,0,132,62447,82899,145346,13.5,0.0,5.8,12288,8.5
sddmm_ad_total,32768,20348,132,20480,40827,133,40960,132,133,265,62447,82899,145346,13.5,10.3,11.7,12288,8.5
sddmm_ad_pure,65536,20348,132,20480,0,0,0,132,0,132,62447,82899,145346,13.5,0.0,5.8,12288,8.5
sddmm_ad_total,65536,20348,132,20480,40827,133,40960,132,133,265,62447,82899,145346,13.5,10.3,11.7,12288,8.5
sddmm_orig_pure,512,16018,16750,32768,32029,21219,53248,16750,17184,33934,142214,248398,390612,753.8,442.8,556.0,0,0.0
sddmm_orig_total,512,16018,16750,32768,32029,21219,53248,16750,21219,37969,142214,248398,390612,753.8,546.7,622.1,0,0.0
sddmm_orig_pure,1024,18770,13998,32768,37777,15471,53248,13998,14519,28517,133265,227135,360400,672.3,409.1,506.4,0,0.0
sddmm_orig_total,1024,18770,13998,32768,37777,15471,53248,13998,15471,29469,133265,227135,360400,672.3,436.0,523.3,0,0.0
sddmm_orig_pure,2048,19333,13435,32768,39391,13857,53248,13435,13262,26697,131172,220072,351244,655.5,385.7,486.5,0,0.0
sddmm_orig_total,2048,19333,13435,32768,39391,13857,53248,13435,13857,27292,131172,220072,351244,655.5,403.0,497.3,0,0.0
sddmm_orig_pure,4096,19898,12870,32768,40177,13071,53248,12870,12855,25725,128927,217277,346204,638.9,378.7,475.6,0,0.0
sddmm_orig_total,4096,19898,12870,32768,40177,13071,53248,12870,13071,25941,128927,217277,346204,638.9,385.0,479.6,0,0.0
sddmm_orig_pure,8192,20159,12609,32768,40565,12683,53248,12609,12548,25157,127484,214716,342200,633.0,374.0,470.5,0,0.0
sddmm_orig_total,8192,20159,12609,32768,40565,12683,53248,12609,12683,25292,127484,214716,342200,633.0,378.1,473.1,0,0.0
sddmm_orig_pure,16384,20306,12462,32768,40904,12344,53248,12462,12211,24673,127299,210029,337328,626.6,372.1,468.1,0,0.0
sddmm_orig_total,16384,20306,12462,32768,40904,12344,53248,12462,12344,24806,127299,210029,337328,626.6,376.2,470.7,0,0.0
sddmm_orig_pure,32768,20306,12462,32768,41162,12086,53248,12462,11953,24415,125576,202848,328424,635.2,377.2,475.8,0,0.0
sddmm_orig_total,32768,20306,12462,32768,41162,12086,53248,12462,12086,24548,125576,202848,328424,635.2,381.4,478.4,0,0.0
sddmm_orig_pure,65536,20356,12412,32768,41675,11573,53248,12412,11440,23852,124921,193941,318862,635.9,377.5,478.8,0,0.0
sddmm_orig_total,65536,20356,12412,32768,41675,11573,53248,12412,11573,23985,124921,193941,318862,635.9,381.9,481.4,0,0.0
