benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
somier_ad_pure,512,3200,15232,18432,0,0,0,15232,512,15744,154508,84694,239202,631.0,38.7,421.3,4608,1.9
somier_ad_total,512,3200,15232,18432,7224,11208,18432,15232,11720,26952,154508,84694,239202,631.0,885.7,721.2,4608,1.9
somier_ad_pure,1024,8000,10432,18432,0,0,0,10432,448,10880,128428,70160,198588,519.9,40.9,350.7,4608,2.3
somier_ad_total,1024,8000,10432,18432,11285,7147,18432,10432,7595,18027,128428,70160,198588,519.9,692.9,581.0,4608,2.3
somier_ad_pure,2048,16470,1962,18432,0,0,0,1962,320,2282,72155,43595,115750,174.1,47.0,126.2,4608,4.0
somier_ad_total,2048,16470,1962,18432,17435,997,18432,1962,1317,3279,72155,43595,115750,174.1,193.4,181.3,4608,4.0
somier_ad_pure,4096,16836,1596,18432,0,0,0,1596,64,1660,70044,41506,111550,145.9,9.9,95.3,4608,4.1
somier_ad_total,4096,16836,1596,18432,17648,784,18432,1596,848,2444,70044,41506,111550,145.9,130.8,140.3,4608,4.1
somier_ad_pure,8192,16924,1508,18432,0,0,0,1508,0,1508,68253,39699,107952,141.4,0.0,89.4,4608,4.3
somier_ad_total,8192,16924,1508,18432,18078,354,18432,1508,354,1862,68253,39699,107952,141.4,57.1,110.4,4608,4.3
somier_ad_pure,16384,17079,1353,18432,0,0,0,1353,0,1353,67266,39720,106986,128.8,0.0,81.0,4608,4.3
somier_ad_total,16384,17079,1353,18432,18078,354,18432,1353,354,1707,67266,39720,106986,128.8,57.0,102.1,4608,4.3
somier_ad_pure,32768,17079,1353,18432,0,0,0,1353,0,1353,67152,39610,106762,129.0,0.0,81.1,4608,4.3
somier_ad_total,32768,17079,1353,18432,18078,354,18432,1353,354,1707,67152,39610,106762,129.0,57.2,102.3,4608,4.3
somier_ad_pure,65536,17724,708,18432,0,0,0,708,0,708,62974,39756,102730,72.0,0.0,44.1,4608,4.5
somier_ad_total,65536,17724,708,18432,18078,354,18432,708,354,1062,62974,39756,102730,72.0,57.0,66.2,4608,4.5
somier_orig_pure,512,2306,20734,23040,5589,17451,23040,20734,6243,26977,191852,138308,330160,691.7,288.9,523.0,0,0.0
somier_orig_total,512,2306,20734,23040,5589,17451,23040,20734,17451,38185,191852,138308,330160,691.7,807.6,740.3,0,0.0
somier_orig_pure,1024,6948,16092,23040,9681,13359,23040,16092,6212,22304,164929,120823,285752,624.5,329.1,499.6,0,0.0
somier_orig_total,1024,6948,16092,23040,9681,13359,23040,16092,13359,29451,164929,120823,285752,624.5,707.7,659.7,0,0.0
somier_orig_pure,2048,15292,7748,23040,15798,7242,23040,7748,6245,13993,109317,97223,206540,453.6,411.1,433.6,0,0.0
somier_orig_total,2048,15292,7748,23040,15798,7242,23040,7748,7242,14990,109317,97223,206540,453.6,476.8,464.5,0,0.0
somier_orig_pure,4096,16282,6758,23040,16907,6133,23040,6758,5349,12107,103197,91485,194682,419.2,374.2,398.0,0,0.0
somier_orig_total,4096,16282,6758,23040,16907,6133,23040,6758,6133,12891,103197,91485,194682,419.2,429.1,423.8,0,0.0
somier_orig_pure,8192,16671,6369,23040,17697,5343,23040,6369,4989,11358,100083,87445,187528,407.3,365.2,387.7,0,0.0
somier_orig_total,8192,16671,6369,23040,17697,5343,23040,6369,5343,11712,100083,87445,187528,407.3,391.1,399.8,0,0.0
somier_orig_pure,16384,16947,6093,23040,17787,5253,23040,6093,4899,10992,98099,85635,183734,397.5,366.2,382.9,0,0.0
somier_orig_total,16384,16947,6093,23040,17787,5253,23040,6093,5253,11346,98099,85635,183734,397.5,392.6,395.2,0,0.0
somier_orig_pure,32768,18893,4147,23040,19693,3347,23040,4147,2993,7140,90865,70889,161754,292.1,270.2,282.5,0,0.0
somier_orig_total,32768,18893,4147,23040,19693,3347,23040,4147,3347,7494,90865,70889,161754,292.1,302.2,296.5,0,0.0
somier_orig_pure,65536,21667,1373,23040,22351,689,23040,1373,335,1708,78758,54590,133348,111.6,39.3,82.0,0,0.0
somier_orig_total,65536,21667,1373,23040,22351,689,23040,1373,689,2062,78758,54590,133348,111.6,80.8,99.0,0,0.0
