benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
nn_ad_pure,512,13727,1983,15710,0,0,0,1983,916,2899,206101,99727,305828,61.6,58.8,60.7,7869,2.6
nn_ad_total,512,13727,1983,15710,14829,1008,15837,1983,1924,3907,206101,99727,305828,61.6,123.5,81.8,7869,2.6
nn_ad_pure,1024,13727,1983,15710,0,0,0,1983,852,2835,206101,99699,305800,61.6,54.7,59.3,7869,2.6
nn_ad_total,1024,13727,1983,15710,14830,1007,15837,1983,1859,3842,206101,99699,305800,61.6,119.3,80.4,7869,2.6
nn_ad_pure,2048,13727,1983,15710,0,0,0,1983,724,2707,206101,99699,305800,61.6,46.5,56.7,7869,2.6
nn_ad_total,2048,13727,1983,15710,14830,1007,15837,1983,1731,3714,206101,99699,305800,61.6,111.1,77.7,7869,2.6
nn_ad_pure,4096,13727,1983,15710,0,0,0,1983,468,2451,206101,99601,305702,61.6,30.1,51.3,7869,2.6
nn_ad_total,4096,13727,1983,15710,14830,1007,15837,1983,1475,3458,206101,99601,305702,61.6,94.8,72.4,7869,2.6
nn_ad_pure,16384,14611,1099,15710,0,0,0,1099,0,1099,197610,99538,297148,35.6,0.0,23.7,7869,2.6
nn_ad_total,16384,14611,1099,15710,14848,989,15837,1099,989,2088,197610,99538,297148,35.6,63.6,45.0,7869,2.6
nn_ad_pure,32768,14627,1083,15710,0,0,0,1083,0,1083,197542,99550,297092,35.1,0.0,23.3,7869,2.6
nn_ad_total,32768,14627,1083,15710,14850,987,15837,1083,987,2070,197542,99550,297092,35.1,63.5,44.6,7869,2.6
nn_ad_pure,65536,14628,1082,15710,0,0,0,1082,0,1082,197524,99526,297050,35.1,0.0,23.3,7869,2.6
nn_ad_total,65536,14628,1082,15710,14852,985,15837,1082,985,2067,197524,99526,297050,35.1,63.3,44.5,7869,2.6
nn_orig_pure,512,20585,2965,23550,21631,2104,23735,2965,1096,4061,203165,117979,321144,93.4,59.5,80.9,0,0.0
nn_orig_total,512,20585,2965,23550,21631,2104,23735,2965,2104,5069,203165,117979,321144,93.4,114.1,101.0,0,0.0
nn_orig_pure,1024,20586,2964,23550,21743,1992,23735,2964,985,3949,203144,117314,320458,93.4,53.7,78.9,0,0.0
nn_orig_total,1024,20586,2964,23550,21743,1992,23735,2964,1992,4956,203144,117314,320458,93.4,108.7,99.0,0,0.0
nn_orig_pure,2048,20586,2964,23550,21748,1987,23735,2964,980,3944,203137,117321,320458,93.4,53.5,78.8,0,0.0
nn_orig_total,2048,20586,2964,23550,21748,1987,23735,2964,1987,4951,203137,117321,320458,93.4,108.4,98.9,0,0.0
nn_orig_pure,4096,20586,2964,23550,21757,1978,23735,2964,971,3935,203138,117208,320346,93.4,53.0,78.6,0,0.0
nn_orig_total,4096,20586,2964,23550,21757,1978,23735,2964,1978,4942,203138,117208,320346,93.4,108.0,98.7,0,0.0
nn_orig_pure,16384,20847,2703,23550,21821,1914,23735,2703,925,3628,200251,116651,316902,86.4,50.8,73.3,0,0.0
nn_orig_total,16384,20847,2703,23550,21821,1914,23735,2703,1914,4617,200251,116651,316902,86.4,105.0,93.2,0,0.0
nn_orig_pure,32768,21486,2064,23550,21886,1849,23735,2064,862,2926,193024,115982,309006,68.4,47.6,60.6,0,0.0
nn_orig_total,32768,21486,2064,23550,21886,1849,23735,2064,1849,3913,193024,115982,309006,68.4,102.0,81.1,0,0.0
nn_orig_pure,65536,21486,2064,23550,22138,1597,23735,2064,612,2676,193018,113762,306780,68.4,34.4,55.8,0,0.0
nn_orig_total,65536,21486,2064,23550,22138,1597,23735,2064,1597,3661,193018,113762,306780,68.4,89.8,76.4,0,0.0
