benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,22046,26998,33341,107679,141020,950.7,1310.6,1225.5,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7062,9322,16384,4952,31368,36320,33341,107679,141020,950.7,1864.7,1648.6,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4780,9760,33400,123706,157106,954.4,247.3,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,5973,10925,33341,107329,140670,950.7,356.2,497.1,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7064,9320,16384,4952,15293,20245,33341,107329,140670,950.7,912.1,921.2,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4782,9762,33400,123706,157106,954.4,247.4,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,3373,8325,33341,107231,140572,950.7,201.3,379.1,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7063,9321,16384,4952,12694,17646,33341,107231,140572,950.7,757.7,803.5,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4781,9761,33400,123706,157106,954.4,247.4,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,2064,7016,33341,107231,140572,950.7,123.2,319.5,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7063,9321,16384,4952,11385,16337,33341,107231,140572,950.7,679.6,743.9,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4781,9761,33400,123706,157106,954.4,247.4,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,1040,5992,33341,107231,140572,950.7,62.1,272.8,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7063,9321,16384,4952,10361,15313,33341,107231,140572,950.7,618.5,697.3,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4781,9761,33400,123706,157106,954.4,247.4,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
gravity_ad_pure,8192,3242,4952,8194,0,0,0,4952,1040,5992,33341,107231,140572,950.7,62.1,272.8,8320,5.9
gravity_ad_total,8192,3242,4952,8194,7063,9321,16384,4952,10361,15313,33341,107231,140572,950.7,618.5,697.3,8320,5.9
gravity_orig_pure,8192,3342,4980,8322,10602,14102,24704,4980,4781,9761,33400,123706,157106,954.4,247.4,397.7,0,0.0
gravity_orig_total,8192,3342,4980,8322,10602,14102,24704,4980,14102,19082,33400,123706,157106,954.4,729.7,777.5,0,0.0
logsum_ad_pure,8192,5007,4994,10001,0,0,0,4994,47885,52879,57399,126839,184238,556.9,2416.4,1837.1,10023,5.4
logsum_ad_total,8192,5007,4994,10001,14517,6165,20682,4994,54050,59044,57399,126839,184238,556.9,2727.5,2051.3,10023,5.4
logsum_orig_pure,8192,5036,5005,10041,19993,10712,30705,5005,4547,9552,57453,143907,201360,557.6,202.2,303.6,0,0.0
logsum_orig_total,8192,5036,5005,10041,19993,10712,30705,5005,10712,15717,57453,143907,201360,557.6,476.5,499.6,0,0.0
logsum_ad_pure,8192,5007,4994,10001,0,0,0,4994,13307,18301,57399,126755,184154,556.9,672.0,636.1,10023,5.4
logsum_ad_total,8192,5007,4994,10001,14517,6165,20682,4994,19472,24466,57399,126755,184154,556.9,983.3,850.4,10023,5.4
logsum_orig_pure,8192,5036,5005,10041,19993,10712,30705,5005,4547,9552,57453,143907,201360,557.6,202.2,303.6,0,0.0
logsum_orig_total,8192,5036,5005,10041,19993,10712,30705,5005,10712,15717,57453,143907,201360,557.6,476.5,499.6,0,0.0
logsum_ad_pure,8192,5007,4994,10001,0,0,0,4994,7544,12538,57399,126755,184154,556.9,380.9,435.8,10023,5.4
logsum_ad_total,8192,5007,4994,10001,14517,6165,20682,4994,13709,18703,57399,126755,184154,556.9,692.3,650.1,10023,5.4
logsum_ad_pure,32768,5007,4994,10001,0,0,0,4994,47885,52879,57399,119993,177392,556.9,2554.4,1908.1,10023,5.7
logsum_ad_total,32768,5007,4994,10001,15648,5034,20682,4994,52919,57913,57399,119993,177392,556.9,2823.0,2089.7,10023,5.7
logsum_orig_pure,32768,5042,4999,10041,21930,8775,30705,4999,3741,8740,57440,134834,192274,557.0,177.6,290.9,0,0.0
logsum_orig_total,32768,5042,4999,10041,21930,8775,30705,4999,8775,13774,57440,134834,192274,557.0,416.6,458.5,0,0.0
logsum_ad_pure,32768,5007,4994,10001,0,0,0,4994,13307,18301,57399,119923,177322,556.9,710.3,660.6,10023,5.7
logsum_ad_total,32768,5007,4994,10001,15647,5035,20682,4994,18342,23336,57399,119923,177322,556.9,979.0,842.4,10023,5.7
logsum_orig_pure,32768,5042,4999,10041,21930,8775,30705,4999,3740,8739,57440,134834,192274,557.0,177.5,290.9,0,0.0
logsum_orig_total,32768,5042,4999,10041,21930,8775,30705,4999,8775,13774,57440,134834,192274,557.0,416.6,458.5,0,0.0
logsum_ad_pure,32768,5007,4994,10001,0,0,0,4994,7544,12538,57399,119923,177322,556.9,402.7,452.6,10023,5.7
logsum_ad_total,32768,5007,4994,10001,15647,5035,20682,4994,12579,17573,57399,119923,177322,556.9,671.4,634.3,10023,5.7
logsum_orig_pure,32768,5042,4999,10041,21930,8775,30705,4999,3740,8739,57440,134834,192274,557.0,177.5,290.9,0,0.0
logsum_orig_total,32768,5042,4999,10041,21930,8775,30705,4999,8775,13774,57440,134834,192274,557.0,416.6,458.5,0,0.0
logsum_ad_pure,32768,5007,4994,10001,0,0,0,4994,4662,9656,57399,119923,177322,556.9,248.8,348.6,10023,5.7
logsum_ad_total,32768,5007,4994,10001,15647,5035,20682,4994,9697,14691,57399,119923,177322,556.9,517.6,530.3,10023,5.7
