benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
alexnet_ad_pure,512,145014,33131,178145,0,0,0,33131,5418,38549,662115,625995,1288110,320.2,55.4,191.5,54770,4.3
alexnet_ad_total,512,145014,33131,178145,234099,54892,288991,33131,60310,93441,662115,625995,1288110,320.2,616.6,464.3,54770,4.3
alexnet_ad_pure,1024,147047,31098,178145,0,0,0,31098,5354,36452,652091,591233,1243324,305.2,58.0,187.6,54770,4.4
alexnet_ad_total,1024,147047,31098,178145,257430,31561,288991,31098,36915,68013,652091,591233,1243324,305.2,399.6,350.1,54770,4.4
alexnet_ad_pure,2048,173012,5133,178145,0,0,0,5133,5226,10359,539085,544737,1083822,60.9,61.4,61.2,54770,5.1
alexnet_ad_total,2048,173012,5133,178145,286622,2369,288991,5133,7595,12728,539085,544737,1083822,60.9,89.2,75.2,54770,5.1
alexnet_ad_pure,4096,174444,3701,178145,0,0,0,3701,4970,8671,533506,544394,1077900,44.4,58.4,51.5,54770,5.1
alexnet_ad_total,4096,174444,3701,178145,286865,2126,288991,3701,7096,10797,533506,544394,1077900,44.4,83.4,64.1,54770,5.1
alexnet_ad_pure,8192,174505,3640,178145,0,0,0,3640,4458,8098,532851,542459,1075310,43.7,52.6,48.2,54770,5.1
alexnet_ad_total,8192,174505,3640,178145,286996,1995,288991,3640,6453,10093,532851,542459,1075310,43.7,76.1,60.1,54770,5.1
alexnet_ad_pure,16384,174844,3301,178145,0,0,0,3301,3434,6735,530837,538915,1069752,39.8,40.8,40.3,54770,5.1
alexnet_ad_total,16384,174844,3301,178145,287738,1253,288991,3301,4687,7988,530837,538915,1069752,39.8,55.7,47.8,54770,5.1
alexnet_ad_pure,32768,176750,1395,178145,0,0,0,1395,1386,2781,520925,538131,1059056,17.1,16.5,16.8,54770,5.2
alexnet_ad_total,32768,176750,1395,178145,287989,1002,288991,1395,2388,3783,520925,538131,1059056,17.1,28.4,22.9,54770,5.2
alexnet_ad_pure,65536,176951,1194,178145,0,0,0,1194,0,1194,519937,535521,1055458,14.7,0.0,7.2,54770,5.2
alexnet_ad_total,65536,176951,1194,178145,288359,632,288991,1194,632,1826,519937,535521,1055458,14.7,7.6,11.1,54770,5.2
alexnet_orig_pure,512,149107,72982,222089,250763,92998,343761,72982,38106,111088,805401,799753,1605154,579.9,304.9,442.9,0,0.0
alexnet_orig_total,512,149107,72982,222089,250763,92998,343761,72982,92998,165980,805401,799753,1605154,579.9,744.2,661.8,0,0.0
alexnet_orig_pure,1024,164699,57390,222089,278344,65417,343761,57390,33856,91246,768800,750618,1519418,477.8,288.7,384.3,0,0.0
alexnet_orig_total,1024,164699,57390,222089,278344,65417,343761,57390,65417,122807,768800,750618,1519418,477.8,557.8,517.3,0,0.0
alexnet_orig_pure,2048,194252,27837,222089,316648,27113,343761,27837,24744,52581,656234,674002,1330236,271.5,235.0,253.0,0,0.0
alexnet_orig_total,2048,194252,27837,222089,316648,27113,343761,27837,27113,54950,656234,674002,1330236,271.5,257.5,264.4,0,0.0
alexnet_orig_pure,4096,204319,17770,222089,326057,17704,343761,17770,15578,33348,620613,648471,1269084,183.3,153.7,168.2,0,0.0
alexnet_orig_total,4096,204319,17770,222089,326057,17704,343761,17770,17704,35474,620613,648471,1269084,183.3,174.7,178.9,0,0.0
alexnet_orig_pure,8192,208556,13533,222089,331013,12748,343761,13533,10753,24286,605922,632362,1238284,142.9,108.8,125.5,0,0.0
alexnet_orig_total,8192,208556,13533,222089,331013,12748,343761,13533,12748,26281,605922,632362,1238284,142.9,129.0,135.8,0,0.0
alexnet_orig_pure,16384,210684,11405,222089,333643,10118,343761,11405,8865,20270,597975,624335,1222310,122.1,90.9,106.1,0,0.0
alexnet_orig_total,16384,210684,11405,222089,333643,10118,343761,11405,10118,21523,597975,624335,1222310,122.1,103.7,112.7,0,0.0
alexnet_orig_pure,32768,213129,8960,222089,336651,7110,343761,8960,6108,15068,588330,613848,1202178,97.5,63.7,80.2,0,0.0
alexnet_orig_total,32768,213129,8960,222089,336651,7110,343761,8960,7110,16070,588330,613848,1202178,97.5,74.1,85.6,0,0.0
alexnet_orig_pure,65536,214138,7951,222089,337993,5768,343761,7951,5136,13087,583237,606971,1190208,87.2,54.2,70.4,0,0.0
alexnet_orig_total,65536,214138,7951,222089,337993,5768,343761,7951,5768,13719,583237,606971,1190208,87.2,60.8,73.8,0,0.0
