benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
logsum_ad_pure,512,8751,1250,10001,0,0,0,1250,1500,2750,57993,138691,196684,138.0,69.2,89.5,12500,6.4
logsum_ad_total,512,8751,1250,10001,16256,3746,20002,1250,5246,6496,57993,138691,196684,138.0,242.1,211.4,12500,6.4
logsum_ad_pure,1024,8751,1250,10001,0,0,0,1250,1437,2687,57993,138691,196684,138.0,66.3,87.4,12500,6.4
logsum_ad_total,1024,8751,1250,10001,16258,3744,20002,1250,5181,6431,57993,138691,196684,138.0,239.1,209.3,12500,6.4
logsum_ad_pure,2048,8751,1250,10001,0,0,0,1250,1309,2559,57993,138691,196684,138.0,60.4,83.3,12500,6.4
logsum_ad_total,2048,8751,1250,10001,16263,3739,20002,1250,5048,6298,57993,138691,196684,138.0,233.0,205.0,12500,6.4
logsum_ad_pure,4096,8751,1250,10001,0,0,0,1250,1052,2302,57993,138691,196684,138.0,48.6,74.9,12500,6.4
logsum_ad_total,4096,8751,1250,10001,16272,3730,20002,1250,4782,6032,57993,138691,196684,138.0,220.7,196.3,12500,6.4
logsum_ad_pure,8192,8751,1250,10001,0,0,0,1250,540,1790,57993,138159,196152,138.0,25.0,58.4,12500,6.4
logsum_ad_total,8192,8751,1250,10001,16326,3676,20002,1250,4216,5466,57993,138159,196152,138.0,195.3,178.4,12500,6.4
logsum_ad_pure,16384,8751,1250,10001,0,0,0,1250,0,1250,57993,127057,185050,138.0,0.0,43.2,12500,6.8
logsum_ad_total,16384,8751,1250,10001,17503,2499,20002,1250,2499,3749,57993,127057,185050,138.0,125.9,129.7,12500,6.8
logsum_ad_pure,32768,8751,1250,10001,0,0,0,1250,0,1250,57993,127057,185050,138.0,0.0,43.2,12500,6.8
logsum_ad_total,32768,8751,1250,10001,17503,2499,20002,1250,2499,3749,57993,127057,185050,138.0,125.9,129.7,12500,6.8
logsum_ad_pure,65536,8751,1250,10001,0,0,0,1250,0,1250,57993,127057,185050,138.0,0.0,43.2,12500,6.8
logsum_ad_total,65536,8751,1250,10001,17503,2499,20002,1250,2499,3749,57993,127057,185050,138.0,125.9,129.7,12500,6.8
logsum_orig_pure,512,9689,2812,12501,26251,6251,32502,2812,2505,5317,59631,162939,222570,301.8,98.4,152.9,0,0.0
logsum_orig_total,512,9689,2812,12501,26251,6251,32502,2812,6251,9063,59631,162939,222570,301.8,245.5,260.6,0,0.0
logsum_orig_pure,1024,9689,2812,12501,26252,6250,32502,2812,2506,5318,59631,162939,222570,301.8,98.4,152.9,0,0.0
logsum_orig_total,1024,9689,2812,12501,26252,6250,32502,2812,6250,9062,59631,162939,222570,301.8,245.5,260.6,0,0.0
logsum_orig_pure,2048,9689,2812,12501,26253,6249,32502,2812,2510,5322,59631,162939,222570,301.8,98.6,153.0,0,0.0
logsum_orig_total,2048,9689,2812,12501,26253,6249,32502,2812,6249,9061,59631,162939,222570,301.8,245.5,260.6,0,0.0
logsum_orig_pure,4096,9689,2812,12501,26259,6243,32502,2812,2513,5325,59631,162939,222570,301.8,98.7,153.1,0,0.0
logsum_orig_total,4096,9689,2812,12501,26259,6243,32502,2812,6243,9055,59631,162939,222570,301.8,245.2,260.4,0,0.0
logsum_orig_pure,8192,9689,2812,12501,26362,6140,32502,2812,2464,5276,59631,162421,222052,301.8,97.1,152.1,0,0.0
logsum_orig_total,8192,9689,2812,12501,26362,6140,32502,2812,6140,8952,59631,162421,222052,301.8,242.0,258.0,0,0.0
logsum_orig_pure,16384,9689,2812,12501,26526,5976,32502,2812,3477,6289,59631,161525,221156,301.8,137.8,182.0,0,0.0
logsum_orig_total,16384,9689,2812,12501,26526,5976,32502,2812,5976,8788,59631,161525,221156,301.8,236.8,254.3,0,0.0
logsum_orig_pure,32768,9689,2812,12501,27839,4663,32502,2812,2164,4976,59631,157577,217208,301.8,87.9,146.6,0,0.0
logsum_orig_total,32768,9689,2812,12501,27839,4663,32502,2812,4663,7475,59631,157577,217208,301.8,189.4,220.3,0,0.0
logsum_orig_pure,65536,9689,2812,12501,28267,4235,32502,2812,1736,4548,59631,155379,215010,301.8,71.5,135.4,0,0.0
logsum_orig_total,65536,9689,2812,12501,28267,4235,32502,2812,4235,7047,59631,155379,215010,301.8,174.5,209.8,0,0.0
