benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
matd_ad_pure,512,280409,40908,321317,0,0,0,40908,20092,61000,760687,1124529,1885216,344.5,114.5,207.3,160800,8.5
matd_ad_total,512,280409,40908,321317,301030,20978,322008,40908,41070,81978,760687,1124529,1885216,344.5,234.0,278.6,160800,8.5
matd_ad_pure,1024,280420,40897,321317,0,0,0,40897,20092,60989,760687,1124361,1885048,344.4,114.5,207.3,160800,8.5
matd_ad_total,1024,280420,40897,321317,301053,20955,322008,40897,41047,81944,760687,1124361,1885048,344.4,233.9,278.5,160800,8.5
matd_ad_pure,2048,280432,40885,321317,0,0,0,40885,20092,60977,760594,1123964,1884558,344.3,114.5,207.3,160800,8.5
matd_ad_total,2048,280432,40885,321317,301105,20903,322008,40885,40995,81880,760594,1123964,1884558,344.3,233.6,278.3,160800,8.5
matd_ad_pure,4096,280502,40815,321317,0,0,0,40815,20092,60907,760590,1062438,1823028,343.8,121.1,214.0,160800,8.8
matd_ad_total,4096,280502,40815,321317,321575,433,322008,40815,20525,61340,760590,1062438,1823028,343.8,123.8,215.5,160800,8.8
matd_ad_pure,8192,280898,40419,321317,0,0,0,40419,20092,60511,726618,1061620,1788238,356.4,121.2,216.8,160800,9.0
matd_ad_total,8192,280898,40419,321317,321855,153,322008,40419,20245,60664,726618,1061620,1788238,356.4,122.2,217.3,160800,9.0
matd_ad_pure,16384,281188,40129,321317,0,0,0,40129,20092,60221,724549,1061603,1786152,354.8,121.2,216.0,160800,9.0
matd_ad_total,16384,281188,40129,321317,321855,153,322008,40129,20245,60374,724549,1061603,1786152,354.8,122.2,216.5,160800,9.0
matd_ad_pure,32768,281198,40119,321317,0,0,0,40119,20092,60211,724545,1061579,1786124,354.7,121.2,216.0,160800,9.0
matd_ad_total,32768,281198,40119,321317,321855,153,322008,40119,20245,60364,724545,1061579,1786124,354.7,122.2,216.5,160800,9.0
matd_ad_pure,65536,281203,40114,321317,0,0,0,40114,20092,60206,724541,1061583,1786124,354.7,121.2,215.9,160800,9.0
matd_ad_total,65536,281203,40114,321317,321855,153,322008,40114,20245,60359,724541,1061583,1786124,354.7,122.2,216.5,160800,9.0
matd_orig_pure,512,280759,40958,321717,422155,60653,482808,40958,39675,80633,760820,1497062,2257882,344.8,169.7,228.7,0,0.0
matd_orig_total,512,280759,40958,321717,422155,60653,482808,40958,60653,101611,760820,1497062,2257882,344.8,259.5,288.2,0,0.0
matd_orig_pure,1024,280770,40947,321717,422178,60630,482808,40947,39675,80622,760820,1496936,2257756,344.7,169.8,228.7,0,0.0
matd_orig_total,1024,280770,40947,321717,422178,60630,482808,40947,60630,101577,760820,1496936,2257756,344.7,259.4,288.2,0,0.0
matd_orig_pure,2048,280782,40935,321717,422210,60598,482808,40935,39695,80630,760741,1496357,2257098,344.6,169.9,228.8,0,0.0
matd_orig_total,2048,280782,40935,321717,422210,60598,482808,40935,60598,101533,760741,1496357,2257098,344.6,259.4,288.1,0,0.0
matd_orig_pure,4096,280851,40866,321717,422445,60363,482808,40866,59930,100796,760740,1495700,2256440,344.1,256.6,286.1,0,0.0
matd_orig_total,4096,280851,40866,321717,422445,60363,482808,40866,60363,101229,760740,1495700,2256440,344.1,258.5,287.3,0,0.0
matd_orig_pure,8192,281248,40469,321717,442444,40364,482808,40469,40211,80680,726735,1427127,2153862,356.7,180.5,239.9,0,0.0
matd_orig_total,8192,281248,40469,321717,442444,40364,482808,40469,40364,80833,726735,1427127,2153862,356.7,181.2,240.4,0,0.0
matd_orig_pure,16384,281538,40179,321717,442738,40070,482808,40179,39917,80096,724690,1426372,2151062,355.1,179.2,238.5,0,0.0
matd_orig_total,16384,281538,40179,321717,442738,40070,482808,40179,40070,80249,724690,1426372,2151062,355.1,179.9,239.0,0,0.0
matd_orig_pure,32768,281548,40169,321717,443172,39636,482808,40169,39483,79652,724690,1424986,2149676,355.0,177.5,237.3,0,0.0
matd_orig_total,32768,281548,40169,321717,443172,39636,482808,40169,39636,79805,724690,1424986,2149676,355.0,178.2,237.8,0,0.0
matd_orig_pure,65536,281553,40164,321717,444189,38619,482808,40164,38466,78630,724690,1421766,2146456,355.0,173.3,234.6,0,0.0
matd_orig_total,65536,281553,40164,321717,444189,38619,482808,40164,38619,78783,724690,1421766,2146456,355.0,174.0,235.1,0,0.0
