benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mttkrp_ad_pure,512,19629,851,20480,0,0,0,851,1529,2380,49837,56211,106048,109.3,174.1,143.7,12288,11.6
mttkrp_ad_total,512,19629,851,20480,38732,2228,40960,851,3757,4608,49837,56211,106048,109.3,427.9,278.2,12288,11.6
mttkrp_ad_pure,1024,20081,399,20480,0,0,0,399,1529,1928,45611,52975,98586,56.0,184.8,125.2,12288,12.5
mttkrp_ad_total,1024,20081,399,20480,40542,418,40960,399,1947,2346,45611,52975,98586,56.0,235.3,152.3,12288,12.5
mttkrp_ad_pure,2048,20356,124,20480,0,0,0,124,1529,1653,43595,52471,96066,18.2,186.5,110.2,12288,12.8
mttkrp_ad_total,2048,20356,124,20480,40847,113,40960,124,1642,1766,43595,52471,96066,18.2,200.3,117.7,12288,12.8
mttkrp_ad_pure,4096,20378,102,20480,0,0,0,102,1529,1631,43338,52336,95674,15.1,187.0,109.1,12288,12.8
mttkrp_ad_total,4096,20378,102,20480,40873,87,40960,102,1616,1718,43338,52336,95674,15.1,197.7,114.9,12288,12.8
mttkrp_ad_pure,8192,20378,102,20480,0,0,0,102,1529,1631,43338,52210,95548,15.1,187.5,109.3,12288,12.9
mttkrp_ad_total,8192,20378,102,20480,40906,54,40960,102,1583,1685,43338,52210,95548,15.1,194.1,112.9,12288,12.9
mttkrp_ad_pure,16384,20378,102,20480,0,0,0,102,1529,1631,43338,52210,95548,15.1,187.5,109.3,12288,12.9
mttkrp_ad_total,16384,20378,102,20480,40906,54,40960,102,1583,1685,43338,52210,95548,15.1,194.1,112.9,12288,12.9
mttkrp_ad_pure,32768,20378,102,20480,0,0,0,102,1529,1631,43338,52210,95548,15.1,187.5,109.3,12288,12.9
mttkrp_ad_total,32768,20378,102,20480,40906,54,40960,102,1583,1685,43338,52210,95548,15.1,194.1,112.9,12288,12.9
mttkrp_ad_pure,65536,20378,102,20480,0,0,0,102,1529,1631,43338,52210,95548,15.1,187.5,109.3,12288,12.9
mttkrp_ad_total,65536,20378,102,20480,40906,54,40960,102,1583,1685,43338,52210,95548,15.1,194.1,112.9,12288,12.9
mttkrp_orig_pure,512,15036,17732,32768,29985,23263,53248,17732,21035,38767,110756,136552,247308,1024.7,985.9,1003.3,0,0.0
mttkrp_orig_total,512,15036,17732,32768,29985,23263,53248,17732,23263,40995,110756,136552,247308,1024.7,1090.4,1061.0,0,0.0
mttkrp_orig_pure,1024,17455,15313,32768,36512,16736,53248,15313,16318,31631,100684,124224,224908,973.5,840.8,900.2,0,0.0
mttkrp_orig_total,1024,17455,15313,32768,36512,16736,53248,15313,16736,32049,100684,124224,224908,973.5,862.3,912.1,0,0.0
mttkrp_orig_pure,2048,18928,13840,32768,39068,14180,53248,13840,14067,27907,94284,119508,213792,939.6,753.4,835.5,0,0.0
mttkrp_orig_total,2048,18928,13840,32768,39068,14180,53248,13840,14180,28020,94284,119508,213792,939.6,759.5,838.9,0,0.0
mttkrp_orig_pure,4096,19606,13162,32768,40078,13170,53248,13162,13083,26245,91097,117291,208388,924.8,714.0,806.1,0,0.0
mttkrp_orig_total,4096,19606,13162,32768,40078,13170,53248,13162,13170,26332,91097,117291,208388,924.8,718.7,808.8,0,0.0
mttkrp_orig_pure,8192,19997,12771,32768,40588,12660,53248,12771,12606,25377,89463,116125,205588,913.7,694.8,790.1,0,0.0
mttkrp_orig_total,8192,19997,12771,32768,40588,12660,53248,12771,12660,25431,89463,116125,205588,913.7,697.8,791.8,0,0.0
mttkrp_orig_pure,16384,20188,12580,32768,40935,12313,53248,12580,12259,24839,88280,114046,202326,912.1,688.0,785.8,0,0.0
mttkrp_orig_total,16384,20188,12580,32768,40935,12313,53248,12580,12313,24893,88280,114046,202326,912.1,691.1,787.5,0,0.0
mttkrp_orig_pure,32768,28000,4768,32768,48602,4646,53248,4768,4592,9360,71497,85315,156812,426.9,344.5,382.1,0,0.0
mttkrp_orig_total,32768,28000,4768,32768,48602,4646,53248,4768,4646,9414,71497,85315,156812,426.9,348.6,384.3,0,0.0
mttkrp_orig_pure,65536,30936,1832,32768,52359,889,53248,1832,835,2667,63641,70687,134328,184.3,75.6,127.1,0,0.0
mttkrp_orig_total,65536,30936,1832,32768,52359,889,53248,1832,889,2721,63641,70687,134328,184.3,80.5,129.7,0,0.0
