benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
nn_ad_pure,512,11868,3842,15710,0,0,0,3842,916,4758,54945,64669,119614,447.6,90.7,254.6,7869,6.6
nn_ad_total,512,11868,3842,15710,12834,3003,15837,3842,3919,7761,54945,64669,119614,447.6,387.9,415.3,7869,6.6
nn_ad_pure,1024,11868,3842,15710,0,0,0,3842,852,4694,54945,64823,119768,447.6,84.1,250.9,7869,6.6
nn_ad_total,1024,11868,3842,15710,12842,2995,15837,3842,3847,7689,54945,64823,119768,447.6,379.9,410.9,7869,6.6
nn_ad_pure,2048,11868,3842,15710,0,0,0,3842,724,4566,54942,64728,119670,447.6,71.6,244.2,7869,6.6
nn_ad_total,2048,11868,3842,15710,12849,2988,15837,3842,3712,7554,54942,64728,119670,447.6,367.1,404.1,7869,6.6
nn_ad_pure,4096,11868,3842,15710,0,0,0,3842,468,4310,54942,64616,119558,447.6,46.4,230.7,7869,6.6
nn_ad_total,4096,11868,3842,15710,12864,2973,15837,3842,3441,7283,54942,64616,119558,447.6,340.9,389.9,7869,6.6
nn_ad_pure,8192,11868,3842,15710,0,0,0,3842,0,3842,54942,63664,118606,447.6,0.0,207.3,7869,6.6
nn_ad_total,8192,11868,3842,15710,13038,2799,15837,3842,2799,6641,54942,63664,118606,447.6,281.4,358.4,7869,6.6
nn_ad_pure,16384,13618,2092,15710,0,0,0,2092,0,2092,49250,58772,108022,271.9,0.0,124.0,7869,7.3
nn_ad_total,16384,13618,2092,15710,13856,1981,15837,2092,1981,4073,49250,58772,108022,271.9,215.8,241.4,7869,7.3
nn_ad_pure,32768,13647,2063,15710,0,0,0,2063,0,2063,49172,58514,107686,268.6,0.0,122.6,7869,7.3
nn_ad_total,32768,13647,2063,15710,13872,1965,15837,2063,1965,4028,49172,58514,107686,268.6,215.0,239.4,7869,7.3
nn_ad_pure,65536,13648,2062,15710,0,0,0,2062,0,2062,49172,58486,107658,268.4,0.0,122.6,7869,7.3
nn_ad_total,65536,13648,2062,15710,13874,1963,15837,2062,1963,4025,49172,58486,107658,268.4,214.8,239.3,7869,7.3
nn_orig_pure,512,12639,10911,23550,14418,9317,23735,10911,6314,17225,59013,99801,158814,1183.5,405.0,694.3,0,0.0
nn_orig_total,512,12639,10911,23550,14418,9317,23735,10911,9317,20228,59013,99801,158814,1183.5,597.6,815.3,0,0.0
nn_orig_pure,1024,18555,4995,23550,19864,3871,23735,4995,876,5871,56883,78453,135336,562.1,71.5,277.7,0,0.0
nn_orig_total,1024,18555,4995,23550,19864,3871,23735,4995,3871,8866,56883,78453,135336,562.1,315.8,419.3,0,0.0
nn_orig_pure,2048,18621,4929,23550,19940,3795,23735,4929,807,5736,56721,78363,135084,556.2,65.9,271.8,0,0.0
nn_orig_total,2048,18621,4929,23550,19940,3795,23735,4929,3795,8724,56721,78363,135084,556.2,310.0,413.4,0,0.0
nn_orig_pure,4096,18625,4925,23550,19966,3769,23735,4925,796,5721,56708,78320,135028,555.9,65.1,271.2,0,0.0
nn_orig_total,4096,18625,4925,23550,19966,3769,23735,4925,3769,8694,56708,78320,135028,555.9,308.0,412.1,0,0.0
nn_orig_pure,8192,18627,4923,23550,20147,3588,23735,4923,789,5712,56711,77323,134034,555.7,65.3,272.8,0,0.0
nn_orig_total,8192,18627,4923,23550,20147,3588,23735,4923,3588,8511,56711,77323,134034,555.7,297.0,406.5,0,0.0
nn_orig_pure,16384,19225,4325,23550,20674,3061,23735,4325,1080,5405,54689,74151,128840,506.2,93.2,268.5,0,0.0
nn_orig_total,16384,19225,4325,23550,20674,3061,23735,4325,3061,7386,54689,74151,128840,506.2,264.2,367.0,0,0.0
nn_orig_pure,32768,20251,3299,23550,21086,2649,23735,3299,684,3983,51326,71676,123002,411.5,61.1,207.3,0,0.0
nn_orig_total,32768,20251,3299,23550,21086,2649,23735,3299,2649,5948,51326,71676,123002,411.5,236.6,309.6,0,0.0
nn_orig_pure,65536,20405,3145,23550,21211,2524,23735,3145,561,3706,50876,70908,121784,395.7,50.6,194.8,0,0.0
nn_orig_total,65536,20405,3145,23550,21211,2524,23735,3145,2524,5669,50876,70908,121784,395.7,227.9,298.0,0,0.0
