benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
pathfinder_ad_pure,512,43385,5422,48807,0,0,0,5422,3680,9102,108724,473814,582538,319.2,49.7,100.0,41580,7.1
pathfinder_ad_total,512,43385,5422,48807,108015,55830,163845,5422,59510,64932,108724,473814,582538,319.2,803.9,713.4,41580,7.1
pathfinder_ad_pure,1024,43448,5359,48807,0,0,0,5359,3680,9039,108205,429295,537500,317.0,54.9,107.6,41580,7.7
pathfinder_ad_total,1024,43448,5359,48807,122275,41570,163845,5359,45250,50609,108205,429295,537500,317.0,674.6,602.6,41580,7.7
pathfinder_ad_pure,2048,43545,5262,48807,0,0,0,5262,3680,8942,108204,356020,464224,311.2,66.2,123.3,41580,9.0
pathfinder_ad_total,2048,43545,5262,48807,144201,19644,163845,5262,23324,28586,108204,356020,464224,311.2,419.3,394.1,41580,9.0
pathfinder_ad_pure,4096,45487,3320,48807,0,0,0,3320,3680,7000,103409,315819,419228,205.5,74.6,106.9,41580,9.9
pathfinder_ad_total,4096,45487,3320,48807,156319,7526,163845,3320,11206,14526,103409,315819,419228,205.5,227.1,221.8,41580,9.9
pathfinder_ad_pure,8192,45484,3323,48807,0,0,0,3323,3680,7003,103408,310486,413894,205.7,75.9,108.3,41580,10.0
pathfinder_ad_total,8192,45484,3323,48807,157795,6050,163845,3323,9730,13053,103408,310486,413894,205.7,200.6,201.8,41580,10.0
pathfinder_ad_pure,16384,45483,3324,48807,0,0,0,3324,3680,7004,103408,310486,413894,205.7,75.9,108.3,41580,10.0
pathfinder_ad_total,16384,45483,3324,48807,157817,6028,163845,3324,9708,13032,103408,310486,413894,205.7,200.1,201.5,41580,10.0
pathfinder_ad_pure,32768,45486,3321,48807,0,0,0,3321,3680,7001,103408,310486,413894,205.6,75.9,108.3,41580,10.0
pathfinder_ad_total,32768,45486,3321,48807,157818,6027,163845,3321,9707,13028,103408,310486,413894,205.6,200.1,201.5,41580,10.0
pathfinder_ad_pure,65536,45486,3321,48807,0,0,0,3321,3680,7001,103408,310486,413894,205.6,75.9,108.3,41580,10.0
pathfinder_ad_total,65536,45486,3321,48807,157816,6029,163845,3321,9709,13030,103408,310486,413894,205.6,200.1,201.5,41580,10.0
pathfinder_orig_pure,512,37549,50462,88011,122788,82637,205425,50462,26807,77269,272599,643013,915612,1184.8,266.8,540.1,0,0.0
pathfinder_orig_total,512,37549,50462,88011,122788,82637,205425,50462,82637,133099,272599,643013,915612,1184.8,822.5,930.4,0,0.0
pathfinder_orig_pure,1024,40588,47423,88011,143663,61762,205425,47423,20192,67615,252802,570802,823604,1200.6,226.4,525.4,0,0.0
pathfinder_orig_total,1024,40588,47423,88011,143663,61762,205425,47423,61762,109185,252802,570802,823604,1200.6,692.5,848.5,0,0.0
pathfinder_orig_pure,2048,55891,32120,88011,163470,41955,205425,32120,22311,54431,211199,503107,714306,973.4,283.8,487.7,0,0.0
pathfinder_orig_total,2048,55891,32120,88011,163470,41955,205425,32120,41955,74075,211199,503107,714306,973.4,533.7,663.7,0,0.0
pathfinder_orig_pure,4096,76536,11475,88011,191604,13821,205425,11475,6295,17770,164552,398862,563414,446.3,101.0,201.9,0,0.0
pathfinder_orig_total,4096,76536,11475,88011,191604,13821,205425,11475,13821,25296,164552,398862,563414,446.3,221.8,287.4,0,0.0
pathfinder_orig_pure,8192,78800,9211,88011,197419,8006,205425,9211,1956,11167,159615,383625,543240,369.3,32.6,131.6,0,0.0
pathfinder_orig_total,8192,78800,9211,88011,197419,8006,205425,9211,8006,17217,159615,383625,543240,369.3,133.6,202.8,0,0.0
pathfinder_orig_pure,16384,79507,8504,88011,197720,7705,205425,8504,1677,10181,158137,383325,541462,344.2,28.0,120.3,0,0.0
pathfinder_orig_total,16384,79507,8504,88011,197720,7705,205425,8504,7705,16209,158137,383325,541462,344.2,128.6,191.6,0,0.0
pathfinder_orig_pure,32768,79503,8508,88011,197910,7515,205425,8508,1488,9996,158719,381973,540692,343.1,24.9,118.3,0,0.0
pathfinder_orig_total,32768,79503,8508,88011,197910,7515,205425,8508,7515,16023,158719,381973,540692,343.1,125.9,189.7,0,0.0
pathfinder_orig_pure,65536,79505,8506,88011,198328,7097,205425,8506,1068,9574,158580,380544,539124,343.3,18.0,113.7,0,0.0
pathfinder_orig_total,65536,79505,8506,88011,198328,7097,205425,8506,7097,15603,158580,380544,539124,343.3,119.4,185.2,0,0.0
