benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
sddmm_ad_pure,512,18807,1673,20480,0,0,0,1673,1689,3362,44886,60588,105474,238.6,178.5,204.1,13568,12.9
sddmm_ad_total,512,18807,1673,20480,33200,7760,40960,1673,9449,11122,44886,60588,105474,238.6,998.4,675.0,13568,12.9
sddmm_ad_pure,1024,19828,652,20480,0,0,0,652,1689,2341,42365,50061,92426,98.5,216.0,162.1,13568,14.7
sddmm_ad_total,1024,19828,652,20480,40242,718,40960,652,2407,3059,42365,50061,92426,98.5,307.8,211.9,13568,14.7
sddmm_ad_pure,2048,19880,600,20480,0,0,0,600,1689,2289,42115,49751,91866,91.2,217.3,159.5,13568,14.8
sddmm_ad_total,2048,19880,600,20480,40342,618,40960,600,2307,2907,42115,49751,91866,91.2,296.8,202.6,13568,14.8
sddmm_ad_pure,4096,20262,218,20480,0,0,0,218,1689,1907,39455,48869,88324,35.4,221.2,138.2,13568,15.4
sddmm_ad_total,4096,20262,218,20480,40715,245,40960,218,1934,2152,39455,48869,88324,35.4,253.3,156.0,13568,15.4
sddmm_ad_pure,8192,20347,133,20480,0,0,0,133,1689,1822,38855,48601,87456,21.9,222.5,133.4,13568,15.5
sddmm_ad_total,8192,20347,133,20480,40792,168,40960,133,1857,1990,38855,48601,87456,21.9,244.6,145.7,13568,15.5
sddmm_ad_pure,16384,20347,133,20480,0,0,0,133,1689,1822,38855,48601,87456,21.9,222.5,133.4,13568,15.5
sddmm_ad_total,16384,20347,133,20480,40792,168,40960,133,1857,1990,38855,48601,87456,21.9,244.6,145.7,13568,15.5
sddmm_ad_pure,32768,20347,133,20480,0,0,0,133,1689,1822,38855,48601,87456,21.9,222.5,133.4,13568,15.5
sddmm_ad_total,32768,20347,133,20480,40792,168,40960,133,1857,1990,38855,48601,87456,21.9,244.6,145.7,13568,15.5
sddmm_ad_pure,65536,20347,133,20480,0,0,0,133,1689,1822,38855,48601,87456,21.9,222.5,133.4,13568,15.5
sddmm_ad_total,65536,20347,133,20480,40792,168,40960,133,1857,1990,38855,48601,87456,21.9,244.6,145.7,13568,15.5
sddmm_orig_pure,512,14819,19229,34048,27484,27044,54528,19229,19284,38513,98728,144170,242898,1246.6,856.1,1014.8,0,0.0
sddmm_orig_total,512,14819,19229,34048,27484,27044,54528,19229,27044,46273,98728,144170,242898,1246.6,1200.6,1219.3,0,0.0
sddmm_orig_pure,1024,18187,15861,34048,36170,18358,54528,15861,17640,33501,88716,129444,218160,1144.3,872.2,982.9,0,0.0
sddmm_orig_total,1024,18187,15861,34048,36170,18358,54528,15861,18358,34219,88716,129444,218160,1144.3,907.7,1003.9,0,0.0
sddmm_orig_pure,2048,19523,14525,34048,38921,15607,54528,14525,14989,29514,86297,123869,210166,1077.3,774.5,898.9,0,0.0
sddmm_orig_total,2048,19523,14525,34048,38921,15607,54528,14525,15607,30132,86297,123869,210166,1077.3,806.5,917.7,0,0.0
sddmm_orig_pure,4096,20444,13604,34048,40078,14450,54528,13604,14205,27809,83423,121689,205112,1043.8,747.2,867.8,0,0.0
sddmm_orig_total,4096,20444,13604,34048,40078,14450,54528,13604,14450,28054,83423,121689,205112,1043.8,760.1,875.5,0,0.0
sddmm_orig_pure,8192,20983,13065,34048,40834,13694,54528,13065,13526,26591,81889,119317,201206,1021.2,725.6,845.9,0,0.0
sddmm_orig_total,8192,20983,13065,34048,40834,13694,54528,13065,13694,26759,81889,119317,201206,1021.2,734.6,851.2,0,0.0
sddmm_orig_pure,16384,24440,9608,34048,41260,13268,54528,9608,13100,22708,74456,116950,191406,826.0,717.0,759.4,0,0.0
sddmm_orig_total,16384,24440,9608,34048,41260,13268,54528,9608,13268,22876,74456,116950,191406,826.0,726.2,765.0,0,0.0
sddmm_orig_pure,32768,32102,1946,34048,52940,1588,54528,1946,1420,3366,58503,74509,133012,212.9,122.0,162.0,0,0.0
sddmm_orig_total,32768,32102,1946,34048,52940,1588,54528,1946,1588,3534,58503,74509,133012,212.9,136.4,170.1,0,0.0
sddmm_orig_pure,65536,32205,1843,34048,53580,948,54528,1843,780,2623,58288,72050,130338,202.4,69.3,128.8,0,0.0
sddmm_orig_total,65536,32205,1843,34048,53580,948,54528,1843,948,2791,58288,72050,130338,202.4,84.2,137.1,0,0.0
