benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
somier_ad_pure,512,3459,14973,18432,0,0,0,14973,568,15541,83439,45037,128476,1148.7,80.7,774.3,4608,3.6
somier_ad_total,512,3459,14973,18432,7259,11173,18432,14973,11741,26714,83439,45037,128476,1148.7,1668.8,1331.0,4608,3.6
somier_ad_pure,1024,8157,10275,18432,0,0,0,10275,568,10843,69947,37361,107308,940.4,97.3,646.9,4608,4.3
somier_ad_total,1024,8157,10275,18432,11416,7016,18432,10275,7584,17859,69947,37361,107308,940.4,1299.5,1065.4,4608,4.3
somier_ad_pure,2048,16513,1919,18432,0,0,0,1919,568,2487,41046,24108,65154,299.3,150.8,244.4,4608,7.1
somier_ad_total,2048,16513,1919,18432,17425,1007,18432,1919,1575,3494,41046,24108,65154,299.3,418.2,343.3,4608,7.1
somier_ad_pure,4096,16828,1604,18432,0,0,0,1604,568,2172,40240,23024,63264,255.2,157.9,219.8,4608,7.3
somier_ad_total,4096,16828,1604,18432,17638,794,18432,1604,1362,2966,40240,23024,63264,255.2,378.7,300.1,4608,7.3
somier_ad_pure,8192,16913,1519,18432,0,0,0,1519,568,2087,39100,22260,61360,248.7,163.3,217.7,4608,7.5
somier_ad_total,8192,16913,1519,18432,18078,354,18432,1519,922,2441,39100,22260,61360,248.7,265.2,254.7,4608,7.5
somier_ad_pure,16384,17068,1364,18432,0,0,0,1364,568,1932,38677,22249,60926,225.8,163.4,203.0,4608,7.6
somier_ad_total,16384,17068,1364,18432,18078,354,18432,1364,922,2286,38677,22249,60926,225.8,265.3,240.2,4608,7.6
somier_ad_pure,32768,17068,1364,18432,0,0,0,1364,568,1932,38677,22235,60912,225.8,163.5,203.0,4608,7.6
somier_ad_total,32768,17068,1364,18432,18078,354,18432,1364,922,2286,38677,22235,60912,225.8,265.4,240.2,4608,7.6
somier_ad_pure,65536,17724,708,18432,0,0,0,708,568,1276,36364,22224,58588,124.7,163.6,139.5,4608,7.9
somier_ad_total,65536,17724,708,18432,18078,354,18432,708,922,1630,36364,22224,58588,124.7,265.6,178.1,4608,7.9
somier_orig_pure,512,2537,20503,23040,5657,17383,23040,20503,6210,26713,101098,72556,173654,1298.1,547.8,984.6,0,0.0
somier_orig_total,512,2537,20503,23040,5657,17383,23040,20503,17383,37886,101098,72556,173654,1298.1,1533.5,1396.5,0,0.0
somier_orig_pure,1024,7112,15928,23040,9746,13294,23040,15928,6278,22206,87742,63498,151240,1162.0,632.9,939.9,0,0.0
somier_orig_total,1024,7112,15928,23040,9746,13294,23040,15928,13294,29222,87742,63498,151240,1162.0,1340.2,1236.8,0,0.0
somier_orig_pure,2048,15392,7648,23040,15768,7272,23040,7648,6265,13913,59616,51514,111130,821.2,778.5,801.4,0,0.0
somier_orig_total,2048,15392,7648,23040,15768,7272,23040,7648,7272,14920,59616,51514,111130,821.2,903.7,859.4,0,0.0
somier_orig_pure,4096,16264,6776,23040,16895,6145,23040,6776,5351,12127,56753,48791,105544,764.3,702.0,735.5,0,0.0
somier_orig_total,4096,16264,6776,23040,16895,6145,23040,6776,6145,12921,56753,48791,105544,764.3,806.2,783.7,0,0.0
somier_orig_pure,8192,16659,6381,23040,17669,5371,23040,6381,5017,11398,55167,47171,102338,740.4,680.8,712.9,0,0.0
somier_orig_total,8192,16659,6381,23040,17669,5371,23040,6381,5371,11752,55167,47171,102338,740.4,728.9,735.1,0,0.0
somier_orig_pure,16384,16938,6102,23040,17759,5281,23040,6102,4927,11029,54098,46420,100518,722.1,679.5,702.4,0,0.0
somier_orig_total,16384,16938,6102,23040,17759,5281,23040,6102,5281,11383,54098,46420,100518,722.1,728.3,724.9,0,0.0
somier_orig_pure,32768,19326,3714,23040,20186,2854,23040,3714,2500,6214,49750,36950,86700,477.9,433.1,458.8,0,0.0
somier_orig_total,32768,19326,3714,23040,20186,2854,23040,3714,2854,6568,49750,36950,86700,477.9,494.5,485.0,0,0.0
somier_orig_pure,65536,21665,1375,23040,22349,691,23040,1375,337,1712,43324,30132,73456,203.2,71.6,149.2,0,0.0
somier_orig_total,65536,21665,1375,23040,22349,691,23040,1375,691,2066,43324,30132,73456,203.2,146.8,180.0,0,0.0
