benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
spmv_ad_pure,512,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,512,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,1024,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,1024,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,2048,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,2048,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,4096,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,4096,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,8192,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,8192,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,16384,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,16384,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,32768,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,32768,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,65536,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,65536,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_ad_pure,131072,44161,2945,47106,0,0,0,2945,0,2945,353009,352687,705696,53.4,0.0,26.7,47105,6.7
spmv_ad_total,131072,44161,2945,47106,44160,2945,47105,2945,2945,5890,353009,352687,705696,53.4,53.4,53.4,47105,6.7
spmv_orig_pure,512,88321,5890,94211,88328,5882,94210,5890,2937,8827,472469,521011,993480,79.8,36.1,56.9,0,0.0
spmv_orig_total,512,88321,5890,94211,88328,5882,94210,5890,5882,11772,472469,521011,993480,79.8,72.3,75.8,0,0.0
spmv_orig_pure,1024,88321,5890,94211,88336,5874,94210,5890,2929,8819,472469,521011,993480,79.8,36.0,56.8,0,0.0
spmv_orig_total,1024,88321,5890,94211,88336,5874,94210,5890,5874,11764,472469,521011,993480,79.8,72.2,75.8,0,0.0
spmv_orig_pure,2048,88321,5890,94211,88352,5858,94210,5890,2913,8803,472469,520815,993284,79.8,35.8,56.7,0,0.0
spmv_orig_total,2048,88321,5890,94211,88352,5858,94210,5890,5858,11748,472469,520815,993284,79.8,72.0,75.7,0,0.0
spmv_orig_pure,4096,88321,5890,94211,88384,5826,94210,5890,2881,8771,472469,520633,993102,79.8,35.4,56.5,0,0.0
spmv_orig_total,4096,88321,5890,94211,88384,5826,94210,5890,5826,11716,472469,520633,993102,79.8,71.6,75.5,0,0.0
spmv_orig_pure,8192,88321,5890,94211,88448,5762,94210,5890,2817,8707,472469,520101,992570,79.8,34.7,56.1,0,0.0
spmv_orig_total,8192,88321,5890,94211,88448,5762,94210,5890,5762,11652,472469,520101,992570,79.8,70.9,75.1,0,0.0
spmv_orig_pure,16384,88321,5890,94211,88576,5634,94210,5890,2689,8579,472469,519037,991506,79.8,33.2,55.4,0,0.0
spmv_orig_total,16384,88321,5890,94211,88576,5634,94210,5890,5634,11524,472469,519037,991506,79.8,69.5,74.4,0,0.0
spmv_orig_pure,32768,88321,5890,94211,88832,5378,94210,5890,2433,8323,472469,516811,989280,79.8,30.1,53.8,0,0.0
spmv_orig_total,32768,88321,5890,94211,88832,5378,94210,5890,5378,11268,472469,516811,989280,79.8,66.6,72.9,0,0.0
spmv_orig_pure,65536,88321,5890,94211,89344,4866,94210,5890,1921,7811,472469,512499,984968,79.8,24.0,50.8,0,0.0
spmv_orig_total,65536,88321,5890,94211,89344,4866,94210,5890,4866,10756,472469,512499,984968,79.8,60.8,69.9,0,0.0
spmv_orig_pure,131072,88321,5890,94211,90368,3842,94210,5890,897,6787,472469,503889,976358,79.8,11.4,44.5,0,0.0
spmv_orig_total,131072,88321,5890,94211,90368,3842,94210,5890,3842,9732,472469,503889,976358,79.8,48.8,63.8,0,0.0
