benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
alexnet_ad_pure,512,139985,34490,174475,0,0,0,34490,5418,39908,587831,592913,1180744,375.5,58.5,216.3,54770,4.6
alexnet_ad_total,512,139985,34490,174475,232102,49549,281651,34490,54967,89457,587831,592913,1180744,375.5,593.3,484.9,54770,4.6
alexnet_ad_pure,1024,143650,30825,174475,0,0,0,30825,5418,36243,574566,557290,1131856,343.4,62.2,204.9,54770,4.8
alexnet_ad_total,1024,143650,30825,174475,257140,24511,281651,30825,29929,60754,574566,557290,1131856,343.4,343.7,343.5,54770,4.8
alexnet_ad_pure,2048,169227,5248,174475,0,0,0,5248,5418,10666,468238,527090,995328,71.7,65.8,68.6,54770,5.5
alexnet_ad_total,2048,169227,5248,174475,279287,2364,281651,5248,7782,13030,468238,527090,995328,71.7,94.5,83.8,54770,5.5
alexnet_ad_pure,4096,170801,3674,174475,0,0,0,3674,5418,9092,462123,526681,988804,50.9,65.8,58.8,54770,5.5
alexnet_ad_total,4096,170801,3674,174475,279515,2136,281651,3674,7554,11228,462123,526681,988804,50.9,91.8,72.7,54770,5.5
alexnet_ad_pure,8192,170857,3618,174475,0,0,0,3618,5418,9036,461221,524573,985794,50.2,66.1,58.7,54770,5.6
alexnet_ad_total,8192,170857,3618,174475,279648,2003,281651,3618,7421,11039,461221,524573,985794,50.2,90.5,71.7,54770,5.6
alexnet_ad_pure,16384,171185,3290,174475,0,0,0,3290,5418,8708,459271,521245,980516,45.8,66.5,56.8,54770,5.6
alexnet_ad_total,16384,171185,3290,174475,280396,1255,281651,3290,6673,9963,459271,521245,980516,45.8,81.9,65.0,54770,5.6
alexnet_ad_pure,32768,173083,1392,174475,0,0,0,1392,5418,6810,449295,520273,969568,19.8,66.6,45.0,54770,5.6
alexnet_ad_total,32768,173083,1392,174475,280644,1007,281651,1392,6425,7817,449295,520273,969568,19.8,79.0,51.6,54770,5.6
alexnet_ad_pure,65536,173284,1191,174475,0,0,0,1191,5418,6609,448263,517861,966124,17.0,67.0,43.8,54770,5.7
alexnet_ad_total,65536,173284,1191,174475,281030,621,281651,1191,6039,7230,448263,517861,966124,17.0,74.6,47.9,54770,5.7
alexnet_ad_pure,131072,173284,1191,174475,0,0,0,1191,5418,6609,448263,517469,965732,17.0,67.0,43.8,54770,5.7
alexnet_ad_total,131072,173284,1191,174475,281124,527,281651,1191,5945,7136,448263,517469,965732,17.0,73.5,47.3,54770,5.7
alexnet_orig_pure,512,146786,71633,218419,249396,87025,336421,71633,37476,109109,725481,788967,1514448,631.9,304.0,461.1,0,0.0
alexnet_orig_total,512,146786,71633,218419,249396,87025,336421,71633,87025,158658,725481,788967,1514448,631.9,705.9,670.5,0,0.0
alexnet_orig_pure,1024,150800,67619,218419,270700,65721,336421,67619,41210,108829,713803,764679,1478482,606.3,344.9,471.1,0,0.0
alexnet_orig_total,1024,150800,67619,218419,270700,65721,336421,67619,65721,133340,713803,764679,1478482,606.3,550.1,577.2,0,0.0
alexnet_orig_pure,2048,173525,44894,218419,294645,41776,336421,44894,39412,84306,620997,729091,1350088,462.7,346.0,399.7,0,0.0
alexnet_orig_total,2048,173525,44894,218419,294645,41776,336421,44894,41776,86670,620997,729091,1350088,462.7,366.7,410.9,0,0.0
alexnet_orig_pure,4096,179047,39372,218419,298724,37697,336421,39372,35561,74933,600295,722297,1322592,419.8,315.1,362.6,0,0.0
alexnet_orig_total,4096,179047,39372,218419,298724,37697,336421,39372,37697,77069,600295,722297,1322592,419.8,334.0,372.9,0,0.0
alexnet_orig_pure,8192,180691,37728,218419,300324,36097,336421,37728,34094,71822,594123,719481,1313604,406.4,303.3,349.9,0,0.0
alexnet_orig_total,8192,180691,37728,218419,300324,36097,336421,37728,36097,73825,594123,719481,1313604,406.4,321.1,359.7,0,0.0
alexnet_orig_pure,16384,205366,13053,218419,323743,12678,336421,13053,11423,24476,545031,626347,1171378,153.3,116.7,133.7,0,0.0
alexnet_orig_total,16384,205366,13053,218419,323743,12678,336421,13053,12678,25731,545031,626347,1171378,153.3,129.5,140.6,0,0.0
alexnet_orig_pure,32768,209476,8943,218419,329361,7060,336421,8943,6053,14996,532852,607488,1140340,107.4,63.8,84.2,0,0.0
alexnet_orig_total,32768,209476,8943,218419,329361,7060,336421,8943,7060,16003,532852,607488,1140340,107.4,74.4,89.8,0,0.0
alexnet_orig_pure,65536,210360,8059,218419,330813,5608,336421,8059,4987,13046,526029,600269,1126298,98.1,53.2,74.1,0,0.0
alexnet_orig_total,65536,210360,8059,218419,330813,5608,336421,8059,5608,13667,526029,600269,1126298,98.1,59.8,77.7,0,0.0
alexnet_orig_pure,131072,211552,6867,218419,331528,4893,336421,6867,4366,11233,520172,597222,1117394,84.5,46.8,64.3,0,0.0
alexnet_orig_total,131072,211552,6867,218419,331528,4893,336421,6867,4893,11760,520172,597222,1117394,84.5,52.4,67.4,0,0.0
