benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mttkrp_ad_pure,512,19124,1356,20480,0,0,0,1356,1473,2829,33239,48113,81352,261.2,196.0,222.6,12288,15.1
mttkrp_ad_total,512,19124,1356,20480,36219,4741,40960,1356,6214,7570,33239,48113,81352,261.2,826.9,595.7,12288,15.1
mttkrp_ad_pure,1024,19828,652,20480,0,0,0,652,1473,2125,30341,43143,73484,137.6,218.6,185.1,12288,16.7
mttkrp_ad_total,1024,19828,652,20480,39698,1262,40960,652,2735,3387,30341,43143,73484,137.6,405.8,295.1,12288,16.7
mttkrp_ad_pure,2048,20273,207,20480,0,0,0,207,1473,1680,28665,41837,70502,46.2,225.4,152.6,12288,17.4
mttkrp_ad_total,2048,20273,207,20480,40802,158,40960,207,1631,1838,28665,41837,70502,46.2,249.6,166.9,12288,17.4
mttkrp_ad_pure,4096,20303,177,20480,0,0,0,177,1473,1650,28548,41786,70334,39.7,225.7,150.2,12288,17.5
mttkrp_ad_total,4096,20303,177,20480,40835,125,40960,177,1598,1775,28548,41786,70334,39.7,244.8,161.6,12288,17.5
mttkrp_ad_pure,8192,20303,177,20480,0,0,0,177,1473,1650,28548,41478,70026,39.7,227.4,150.9,12288,17.6
mttkrp_ad_total,8192,20303,177,20480,40882,78,40960,177,1551,1728,28548,41478,70026,39.7,239.4,158.0,12288,17.6
mttkrp_ad_pure,16384,20303,177,20480,0,0,0,177,1473,1650,28548,41478,70026,39.7,227.4,150.9,12288,17.6
mttkrp_ad_total,16384,20303,177,20480,40882,78,40960,177,1551,1728,28548,41478,70026,39.7,239.4,158.0,12288,17.6
mttkrp_ad_pure,32768,20303,177,20480,0,0,0,177,1473,1650,28548,41478,70026,39.7,227.4,150.9,12288,17.6
mttkrp_ad_total,32768,20303,177,20480,40882,78,40960,177,1551,1728,28548,41478,70026,39.7,239.4,158.0,12288,17.6
mttkrp_ad_pure,65536,20303,177,20480,0,0,0,177,1473,1650,28548,41478,70026,39.7,227.4,150.9,12288,17.6
mttkrp_ad_total,65536,20303,177,20480,40882,78,40960,177,1551,1728,28548,41478,70026,39.7,239.4,158.0,12288,17.6
mttkrp_orig_pure,512,16642,16126,32768,32622,20626,53248,16126,15885,32011,78376,120156,198532,1317.0,846.2,1032.0,0,0.0
mttkrp_orig_total,512,16642,16126,32768,32622,20626,53248,16126,20626,36752,78376,120156,198532,1317.0,1098.7,1184.9,0,0.0
mttkrp_orig_pure,1024,17713,15055,32768,38360,14888,53248,15055,13626,28681,75691,110605,186296,1273.1,788.5,985.4,0,0.0
mttkrp_orig_total,1024,17713,15055,32768,38360,14888,53248,15055,14888,29943,75691,110605,186296,1273.1,861.5,1028.7,0,0.0
mttkrp_orig_pure,2048,18270,14498,32768,39938,13310,53248,14498,13152,27650,74361,108253,182614,1247.9,777.6,969.1,0,0.0
mttkrp_orig_total,2048,18270,14498,32768,39938,13310,53248,14498,13310,27808,74361,108253,182614,1247.9,787.0,974.7,0,0.0
mttkrp_orig_pure,4096,18983,13785,32768,40499,12749,53248,13785,12624,26409,72381,107139,179520,1219.0,754.2,941.6,0,0.0
mttkrp_orig_total,4096,18983,13785,32768,40499,12749,53248,13785,12749,26534,72381,107139,179520,1219.0,761.7,946.1,0,0.0
mttkrp_orig_pure,8192,19452,13316,32768,40749,12499,53248,13316,12421,25737,71976,105836,177812,1184.2,751.2,926.5,0,0.0
mttkrp_orig_total,8192,19452,13316,32768,40749,12499,53248,13316,12499,25815,71976,105836,177812,1184.2,755.9,929.3,0,0.0
mttkrp_orig_pure,16384,20107,12661,32768,40973,12275,53248,12661,12197,24858,69639,103721,173360,1163.7,752.7,917.8,0,0.0
mttkrp_orig_total,16384,20107,12661,32768,40973,12275,53248,12661,12275,24936,69639,103721,173360,1163.7,757.5,920.7,0,0.0
mttkrp_orig_pure,32768,20131,12637,32768,41236,12012,53248,12637,11934,24571,69057,100019,169076,1171.3,763.7,930.2,0,0.0
mttkrp_orig_total,32768,20131,12637,32768,41236,12012,53248,12637,12012,24649,69057,100019,169076,1171.3,768.7,933.2,0,0.0
mttkrp_orig_pure,65536,20187,12581,32768,41751,11497,53248,12581,11419,24000,68886,96690,165576,1169.0,755.9,927.8,0,0.0
mttkrp_orig_total,65536,20187,12581,32768,41751,11497,53248,12581,11497,24078,68886,96690,165576,1169.0,761.1,930.8,0,0.0
