benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
pathfinder_ad_pure,512,43463,5344,48807,0,0,0,5344,3624,8968,106289,497529,603818,321.8,46.6,95.1,40392,6.7
pathfinder_ad_total,512,43463,5344,48807,113673,55518,169191,5344,59142,64486,106289,497529,603818,321.8,760.8,683.5,40392,6.7
pathfinder_ad_pure,1024,43569,5238,48807,0,0,0,5238,3624,8862,106289,460723,567012,315.4,50.3,100.0,40392,7.1
pathfinder_ad_total,1024,43569,5238,48807,125466,43725,169191,5238,47349,52587,106289,460723,567012,315.4,657.8,593.6,40392,7.1
pathfinder_ad_pure,2048,44837,3970,48807,0,0,0,3970,3624,7594,103404,444204,547608,245.7,52.2,88.8,40392,7.4
pathfinder_ad_total,2048,44837,3970,48807,131810,37381,169191,3970,41005,44975,103404,444204,547608,245.7,590.8,525.7,40392,7.4
pathfinder_ad_pure,4096,45355,3452,48807,0,0,0,3452,3624,7076,102244,381006,483250,216.1,60.9,93.7,40392,8.4
pathfinder_ad_total,4096,45355,3452,48807,148621,20570,169191,3452,24194,27646,102244,381006,483250,216.1,406.4,366.1,40392,8.4
pathfinder_ad_pure,8192,45355,3452,48807,0,0,0,3452,3624,7076,102193,331189,433382,216.2,70.0,104.5,40392,9.3
pathfinder_ad_total,8192,45355,3452,48807,162344,6847,169191,3452,10471,13923,102193,331189,433382,216.2,202.4,205.6,40392,9.3
pathfinder_ad_pure,16384,45353,3454,48807,0,0,0,3454,3624,7078,102356,330956,433312,216.0,70.1,104.5,40392,9.3
pathfinder_ad_total,16384,45353,3454,48807,162583,6608,169191,3454,10232,13686,102356,330956,433312,216.0,197.9,202.1,40392,9.3
pathfinder_ad_pure,32768,45355,3452,48807,0,0,0,3452,3624,7076,102193,329621,431814,216.2,70.4,104.9,40392,9.4
pathfinder_ad_total,32768,45355,3452,48807,162628,6563,169191,3452,10187,13639,102193,329621,431814,216.2,197.8,202.2,40392,9.4
pathfinder_ad_pure,65536,45355,3452,48807,0,0,0,3452,3624,7076,102193,329621,431814,216.2,70.4,104.9,40392,9.4
pathfinder_ad_total,65536,45355,3452,48807,162633,6558,169191,3452,10182,13634,102193,329621,431814,216.2,197.7,202.1,40392,9.4
pathfinder_ad_pure,131072,45356,3451,48807,0,0,0,3451,3624,7075,102192,329622,431814,216.1,70.4,104.9,40392,9.4
pathfinder_ad_total,131072,45356,3451,48807,162635,6556,169191,3451,10180,13631,102192,329622,431814,216.1,197.7,202.0,40392,9.4
pathfinder_orig_pure,512,38418,49593,88011,130991,78592,209583,49593,23074,72667,287888,645462,933350,1102.5,228.8,498.3,0,0.0
pathfinder_orig_total,512,38418,49593,88011,130991,78592,209583,49593,78592,128185,287888,645462,933350,1102.5,779.3,879.0,0,0.0
pathfinder_orig_pure,1024,40720,47291,88011,147725,61858,209583,47291,18133,65424,264509,585933,850442,1144.3,198.1,492.4,0,0.0
pathfinder_orig_total,1024,40720,47291,88011,147725,61858,209583,47291,61858,109149,264509,585933,850442,1144.3,675.7,821.4,0,0.0
pathfinder_orig_pure,2048,41610,46401,88011,158546,51037,209583,46401,13656,60057,257037,552077,809114,1155.4,158.3,475.1,0,0.0
pathfinder_orig_total,2048,41610,46401,88011,158546,51037,209583,46401,51037,97438,257037,552077,809114,1155.4,591.7,770.7,0,0.0
pathfinder_orig_pure,4096,55710,32301,88011,172102,37481,209583,32301,16911,49212,207678,503716,711394,995.4,214.9,442.7,0,0.0
pathfinder_orig_total,4096,55710,32301,88011,172102,37481,209583,32301,37481,69782,207678,503716,711394,995.4,476.2,627.8,0,0.0
pathfinder_orig_pure,8192,78049,9962,88011,200218,9365,209583,9962,2518,12480,154703,400283,554986,412.1,40.3,143.9,0,0.0
pathfinder_orig_total,8192,78049,9962,88011,200218,9365,209583,9962,9365,19327,154703,400283,554986,412.1,149.7,222.9,0,0.0
pathfinder_orig_pure,16384,78826,9185,88011,201326,8257,209583,9185,1649,10834,153771,398093,551864,382.3,26.5,125.6,0,0.0
pathfinder_orig_total,16384,78826,9185,88011,201326,8257,209583,9185,8257,17442,153771,398093,551864,382.3,132.7,202.3,0,0.0
pathfinder_orig_pure,32768,78879,9132,88011,201554,8029,209583,9132,1466,10598,153541,397441,550982,380.7,23.6,123.1,0,0.0
pathfinder_orig_total,32768,78879,9132,88011,201554,8029,209583,9132,8029,17161,153541,397441,550982,380.7,129.3,199.3,0,0.0
pathfinder_orig_pure,65536,78879,9132,88011,201954,7629,209583,9132,1071,10203,153771,395503,549274,380.1,17.3,118.9,0,0.0
pathfinder_orig_total,65536,78879,9132,88011,201954,7629,209583,9132,7629,16761,153771,395503,549274,380.1,123.5,195.3,0,0.0
pathfinder_orig_pure,131072,78885,9126,88011,202713,6870,209583,9126,314,9440,153872,392294,546166,379.6,5.1,110.6,0,0.0
pathfinder_orig_total,131072,78885,9126,88011,202713,6870,209583,9126,6870,15996,153872,392294,546166,379.6,112.1,187.5,0,0.0
