benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
sddmm_ad_pure,512,17707,2773,20480,0,0,0,2773,1476,4249,35366,47974,83340,502.0,197.0,326.4,12288,14.7
sddmm_ad_total,512,17707,2773,20480,34772,6188,40960,2773,7664,10437,35366,47974,83340,502.0,1022.7,801.7,12288,14.7
sddmm_ad_pure,1024,19288,1192,20480,0,0,0,1192,1476,2668,31833,43121,74954,239.7,219.1,227.9,12288,16.4
sddmm_ad_total,1024,19288,1192,20480,38388,2572,40960,1192,4048,5240,31833,43121,74954,239.7,601.0,447.5,12288,16.4
sddmm_ad_pure,2048,19443,1037,20480,0,0,0,1037,1476,2513,31467,41233,72700,211.0,229.2,221.3,12288,16.9
sddmm_ad_total,2048,19443,1037,20480,39845,1115,40960,1037,2591,3628,31467,41233,72700,211.0,402.3,319.5,12288,16.9
sddmm_ad_pure,4096,20154,326,20480,0,0,0,326,1476,1802,28584,40042,68626,73.0,236.0,168.1,12288,17.9
sddmm_ad_total,4096,20154,326,20480,40609,351,40960,326,1827,2153,28584,40042,68626,73.0,292.1,200.9,12288,17.9
sddmm_ad_pure,8192,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,8192,20305,175,20480,40740,220,40960,175,1696,1871,27974,39826,67800,40.0,272.6,176.7,12288,18.1
sddmm_ad_pure,16384,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,16384,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_pure,32768,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,32768,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_pure,65536,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,65536,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_total,65536,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_ad_pure,131072,20305,175,20480,0,0,0,175,1476,1651,27974,39826,67800,40.0,237.3,155.9,12288,18.1
sddmm_ad_total,131072,20305,175,20480,40746,214,40960,175,1690,1865,27974,39826,67800,40.0,271.7,176.1,12288,18.1
sddmm_orig_pure,512,16664,16104,32768,30913,22335,53248,16104,16147,32251,74434,122250,196684,1384.8,845.4,1049.5,0,0.0
sddmm_orig_total,512,16664,16104,32768,30913,22335,53248,16104,22335,38439,74434,122250,196684,1384.8,1169.4,1250.9,0,0.0
sddmm_orig_pure,1024,18653,14115,32768,37124,16124,53248,14115,13552,27667,72035,109767,181802,1254.2,790.2,974.1,0,0.0
sddmm_orig_total,1024,18653,14115,32768,37124,16124,53248,14115,16124,30239,72035,109767,181802,1254.2,940.2,1064.6,0,0.0
sddmm_orig_pure,2048,18907,13861,32768,39394,13854,53248,13861,12739,26600,74554,107458,182012,1190.0,758.8,935.5,0,0.0
sddmm_orig_total,2048,18907,13861,32768,39394,13854,53248,13861,13854,27715,74554,107458,182012,1190.0,825.2,974.7,0,0.0
sddmm_orig_pure,4096,19978,12790,32768,40149,13099,53248,12790,12748,25538,70591,106017,176608,1159.8,769.7,925.6,0,0.0
sddmm_orig_total,4096,19978,12790,32768,40149,13099,53248,12790,13099,25889,70591,106017,176608,1159.8,790.9,938.3,0,0.0
sddmm_orig_pure,8192,20208,12560,32768,40338,12910,53248,12560,12690,25250,70706,105608,176314,1137.0,769.1,916.7,0,0.0
sddmm_orig_total,8192,20208,12560,32768,40338,12910,53248,12560,12910,25470,70706,105608,176314,1137.0,782.5,924.6,0,0.0
sddmm_orig_pure,16384,20212,12556,32768,40533,12715,53248,12556,12501,25057,70960,104290,175250,1132.6,767.3,915.2,0,0.0
sddmm_orig_total,16384,20212,12556,32768,40533,12715,53248,12556,12715,25271,70960,104290,175250,1132.6,780.4,923.0,0,0.0
sddmm_orig_pure,32768,20210,12558,32768,40795,12453,53248,12558,12239,24797,68224,100138,168362,1178.2,782.3,942.7,0,0.0
sddmm_orig_total,32768,20210,12558,32768,40795,12453,53248,12558,12453,25011,68224,100138,168362,1178.2,796.0,950.9,0,0.0
sddmm_orig_pure,65536,31047,1721,32768,52402,846,53248,1721,632,2353,41855,60539,102394,263.2,66.8,147.1,0,0.0
sddmm_orig_total,65536,31047,1721,32768,52402,846,53248,1721,846,2567,41855,60539,102394,263.2,89.5,160.5,0,0.0
sddmm_orig_pure,131072,31047,1721,32768,52810,438,53248,1721,224,1945,41809,58583,100392,263.5,24.5,124.0,0,0.0
sddmm_orig_total,131072,31047,1721,32768,52810,438,53248,1721,438,2159,41809,58583,100392,263.5,47.9,137.7,0,0.0
