benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
gravity_ad_pure,512,61318,36857,98175,0,0,0,36857,12177,49034,907784,1323422,2231206,259.8,58.9,140.7,97920,4.4
gravity_ad_total,512,61318,36857,98175,90377,73078,163455,36857,85255,122112,907784,1323422,2231206,259.8,412.3,350.3,97920,4.4
gravity_ad_pure,1024,61318,36857,98175,0,0,0,36857,12177,49034,907784,1324752,2232536,259.8,58.8,140.6,97920,4.4
gravity_ad_total,1024,61318,36857,98175,90447,73008,163455,36857,85185,122042,907784,1324752,2232536,259.8,411.5,349.9,97920,4.4
gravity_ad_pure,2048,61318,36857,98175,0,0,0,36857,12177,49034,907784,1325452,2233236,259.8,58.8,140.5,97920,4.4
gravity_ad_total,2048,61318,36857,98175,90470,72985,163455,36857,85162,122019,907784,1325452,2233236,259.8,411.2,349.7,97920,4.4
gravity_ad_pure,4096,61318,36857,98175,0,0,0,36857,12177,49034,907784,1324122,2231906,259.8,58.9,140.6,97920,4.4
gravity_ad_total,4096,61318,36857,98175,90611,72844,163455,36857,85021,121878,907784,1324122,2231906,259.8,410.9,349.5,97920,4.4
gravity_ad_pure,8192,61318,36857,98175,0,0,0,36857,12177,49034,907784,1320888,2228672,259.8,59.0,140.8,97920,4.4
gravity_ad_total,8192,61318,36857,98175,91855,71600,163455,36857,83777,120634,907784,1320888,2228672,259.8,405.9,346.4,97920,4.4
gravity_ad_pure,16384,61346,36829,98175,0,0,0,36829,12177,49006,907729,1313705,2221434,259.7,59.3,141.2,97920,4.4
gravity_ad_total,16384,61346,36829,98175,94297,69158,163455,36829,81335,118164,907729,1313705,2221434,259.7,396.2,340.4,97920,4.4
gravity_ad_pure,32768,61449,36726,98175,0,0,0,36726,12177,48903,907593,1307709,2215302,259.0,59.6,141.3,97920,4.4
gravity_ad_total,32768,61449,36726,98175,96437,67018,163455,36726,79195,115921,907593,1307709,2215302,259.0,387.6,334.9,97920,4.4
gravity_ad_pure,65536,61871,36304,98175,0,0,0,36304,12177,48481,907071,1300251,2207322,256.2,59.9,140.6,97920,4.4
gravity_ad_total,65536,61871,36304,98175,99012,64443,163455,36304,76620,112924,907071,1300251,2207322,256.2,377.1,327.4,97920,4.4
gravity_ad_pure,131072,63551,34624,98175,0,0,0,34624,12177,46801,905632,1278912,2184544,244.7,60.9,137.1,97920,4.5
gravity_ad_total,131072,63551,34624,98175,106970,56485,163455,34624,68662,103286,905632,1278912,2184544,244.7,343.6,302.6,97920,4.5
gravity_orig_pure,512,89821,40994,130815,83195,178180,261375,40994,105102,146096,1032356,1642692,2675048,254.1,409.5,349.5,0,0.0
gravity_orig_total,512,89821,40994,130815,83195,178180,261375,40994,178180,219174,1032356,1642692,2675048,254.1,694.2,524.4,0,0.0
gravity_orig_pure,1024,89849,40966,130815,127610,133765,261375,40966,60757,101723,1032356,1492304,2524660,254.0,260.6,257.9,0,0.0
gravity_orig_total,1024,89849,40966,130815,127610,133765,261375,40966,133765,174731,1032356,1492304,2524660,254.0,573.7,442.9,0,0.0
gravity_orig_pure,2048,89863,40952,130815,140699,120676,261375,40952,47691,88643,1032356,1446398,2478754,253.9,211.0,228.9,0,0.0
gravity_orig_total,2048,89863,40952,130815,140699,120676,261375,40952,120676,161628,1032356,1446398,2478754,253.9,534.0,417.3,0,0.0
gravity_orig_pure,4096,89871,40944,130815,145454,115921,261375,40944,43077,84021,1032462,1429464,2461926,253.8,192.9,218.4,0,0.0
gravity_orig_total,4096,89871,40944,130815,145454,115921,261375,40944,115921,156865,1032462,1429464,2461926,253.8,519.0,407.8,0,0.0
gravity_orig_pure,8192,89876,40939,130815,146748,114627,261375,40939,43027,83966,1032459,1424091,2456550,253.8,193.4,218.8,0,0.0
gravity_orig_total,8192,89876,40939,130815,146748,114627,261375,40939,114627,155566,1032459,1424091,2456550,253.8,515.1,405.3,0,0.0
gravity_orig_pure,16384,89906,40909,130815,149577,111798,261375,40909,42640,83549,1032286,1409970,2442256,253.6,193.5,218.9,0,0.0
gravity_orig_total,16384,89906,40909,130815,149577,111798,261375,40909,111798,152707,1032286,1409970,2442256,253.6,507.5,400.2,0,0.0
gravity_orig_pure,32768,90009,40806,130815,153323,108052,261375,40806,41034,81840,1031447,1396375,2427822,253.2,188.1,215.7,0,0.0
gravity_orig_total,32768,90009,40806,130815,153323,108052,261375,40806,108052,148858,1031447,1396375,2427822,253.2,495.2,392.4,0,0.0
gravity_orig_pure,65536,90429,40386,130815,156315,105060,261375,40386,40617,81003,1029950,1390564,2420514,251.0,186.9,214.2,0,0.0
gravity_orig_total,65536,90429,40386,130815,156315,105060,261375,40386,105060,145446,1029950,1390564,2420514,251.0,483.5,384.6,0,0.0
gravity_orig_pure,131072,92109,38706,130815,163672,97703,261375,38706,41218,79924,1024413,1373603,2398016,241.8,192.0,213.3,0,0.0
gravity_orig_total,131072,92109,38706,130815,163672,97703,261375,38706,97703,136409,1024413,1373603,2398016,241.8,455.2,364.1,0,0.0
