benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
matd_ad_pure,512,280587,40730,321317,0,0,0,40730,20036,60766,1503370,1455310,2958680,173.5,88.2,131.5,160800,5.4
matd_ad_total,512,280587,40730,321317,281479,40529,322008,40730,60565,101295,1503370,1455310,2958680,173.5,266.5,219.2,160800,5.4
matd_ad_pure,1024,280592,40725,321317,0,0,0,40725,19972,60697,1503370,1444376,2947746,173.5,88.5,131.9,160800,5.5
matd_ad_total,1024,280592,40725,321317,284230,37778,322008,40725,57750,98475,1503370,1444376,2947746,173.5,256.0,213.9,160800,5.5
matd_ad_pure,2048,280596,40721,321317,0,0,0,40721,19844,60565,1503370,1375426,2878796,173.5,92.4,134.7,160800,5.6
matd_ad_total,2048,280596,40721,321317,301315,20693,322008,40721,40537,81258,1503370,1375426,2878796,173.5,188.7,180.8,160800,5.6
matd_ad_pure,4096,280607,40710,321317,0,0,0,40710,19588,60298,1503366,1313256,2816622,173.4,95.5,137.1,160800,5.7
matd_ad_total,4096,280607,40710,321317,321647,361,322008,40710,19949,60659,1503366,1313256,2816622,173.4,97.3,137.9,160800,5.7
matd_ad_pure,8192,300493,20824,321317,0,0,0,20824,19076,39900,1328344,1312438,2640782,100.4,93.1,96.8,160800,6.1
matd_ad_total,8192,300493,20824,321317,321903,105,322008,20824,19181,40005,1328344,1312438,2640782,100.4,93.6,97.0,160800,6.1
matd_ad_pure,16384,301126,20191,321317,0,0,0,20191,18052,38243,1324341,1312409,2636750,97.6,88.1,92.9,160800,6.1
matd_ad_total,16384,301126,20191,321317,321903,105,322008,20191,18157,38348,1324341,1312409,2636750,97.6,88.6,93.1,160800,6.1
matd_ad_pure,32768,301129,20188,321317,0,0,0,20188,16004,36192,1324337,1312413,2636750,97.6,78.1,87.9,160800,6.1
matd_ad_total,32768,301129,20188,321317,321903,105,322008,20188,16109,36297,1324337,1312413,2636750,97.6,78.6,88.2,160800,6.1
matd_ad_pure,65536,301132,20185,321317,0,0,0,20185,11908,32093,1324333,1312417,2636750,97.6,58.1,77.9,160800,6.1
matd_ad_total,65536,301132,20185,321317,321903,105,322008,20185,12013,32198,1324333,1312417,2636750,97.6,58.6,78.2,160800,6.1
matd_ad_pure,131072,281220,40097,321317,0,0,0,40097,20036,60133,724529,1061581,1786110,354.5,120.9,215.7,160800,9.0
matd_ad_total,131072,281220,40097,321317,321855,153,322008,40097,20189,60286,724529,1061581,1786110,354.5,121.8,216.2,160800,9.0
matd_orig_pure,512,280937,40780,321717,422173,60635,482808,40780,20106,60886,1503510,2088586,3592096,173.7,61.6,108.5,0,0.0
matd_orig_total,512,280937,40780,321717,422173,60635,482808,40780,60635,101415,1503510,2088586,3592096,173.7,185.9,180.8,0,0.0
matd_orig_pure,1024,280942,40775,321717,422194,60614,482808,40775,22836,63611,1503511,2088725,3592236,173.7,70.0,113.4,0,0.0
matd_orig_total,1024,280942,40775,321717,422194,60614,482808,40775,60614,101389,1503511,2088725,3592236,173.7,185.8,180.7,0,0.0
matd_orig_pure,2048,280946,40771,321717,437992,44816,482808,40771,24123,64894,1503510,2016108,3519618,173.6,76.6,118.1,0,0.0
matd_orig_total,2048,280946,40771,321717,437992,44816,482808,40771,44816,85587,1503510,2016108,3519618,173.6,142.3,155.7,0,0.0
matd_orig_pure,4096,280956,40761,321717,442243,40565,482808,40761,40204,80965,1503509,1995319,3498828,173.6,129.0,148.2,0,0.0
matd_orig_total,4096,280956,40761,321717,442243,40565,482808,40761,40565,81326,1503509,1995319,3498828,173.6,130.2,148.8,0,0.0
matd_orig_pure,8192,300843,20874,321717,462462,20346,482808,20874,20241,41115,1328484,1957292,3285776,100.6,66.2,80.1,0,0.0
matd_orig_total,8192,300843,20874,321717,462462,20346,482808,20874,20346,41220,1328484,1957292,3285776,100.6,66.6,80.3,0,0.0
matd_orig_pure,16384,301476,20241,321717,462697,20111,482808,20241,20006,40247,1324458,1956754,3281212,97.9,65.5,78.5,0,0.0
matd_orig_total,16384,301476,20241,321717,462697,20111,482808,20241,20111,40352,1324458,1956754,3281212,97.9,65.8,78.7,0,0.0
matd_orig_pure,32768,301479,20238,321717,462921,19887,482808,20238,19782,40020,1324458,1955004,3279462,97.8,64.8,78.1,0,0.0
matd_orig_total,32768,301479,20238,321717,462921,19887,482808,20238,19887,40125,1324458,1955004,3279462,97.8,65.1,78.3,0,0.0
matd_orig_pure,65536,301482,20235,321717,463436,19372,482808,20235,19267,39502,1324458,1950720,3275178,97.8,63.2,77.2,0,0.0
matd_orig_total,65536,301482,20235,321717,463436,19372,482808,20235,19372,39607,1324458,1950720,3275178,97.8,63.6,77.4,0,0.0
matd_orig_pure,131072,281570,40147,321717,446252,36556,482808,40147,36403,76550,724690,1415368,2140058,354.8,164.7,229.1,0,0.0
matd_orig_total,131072,281570,40147,321717,446252,36556,482808,40147,36556,76703,724690,1415368,2140058,354.8,165.4,229.6,0,0.0
