benchmark,cache_size,fw_cluster_cache_hits,fw_cluster_cache_misses,fw_cluster_total,rev_cluster_cache_hits,rev_cluster_cache_misses,rev_cluster_total,fw_dram_access,rev_dram_access,total_dram_access,fw_cycles,rev_cycles,total_cycles,fw_bw(MB),rev_bw(MB),total_bw(MB),bin_zero_read_count,bin_zero_bw(MB)
mttkrp_ad_pure,16384,6389,91,6480,0,0,0,91,486,577,5352,7176,12528,109.0,434.0,295.2,3888,31.1
mttkrp_ad_total,16384,6389,91,6480,12941,19,12960,91,505,596,5352,7176,12528,109.0,451.0,304.9,3888,31.1
mttkrp_orig_pure,16384,9790,578,10368,16525,323,16848,578,304,882,8062,10360,18422,459.3,188.0,306.7,0,0.0
mttkrp_orig_total,16384,9790,578,10368,16525,323,16848,578,323,901,8062,10360,18422,459.3,199.7,313.3,0,0.0
mttkrp_ad_pure,16384,20272,208,20480,0,0,0,208,1536,1744,15229,21995,37224,87.5,447.2,300.0,12288,33.0
mttkrp_ad_total,16384,20272,208,20480,40939,21,40960,208,1557,1765,15229,21995,37224,87.5,453.3,303.6,12288,33.0
mttkrp_orig_pure,16384,20097,12671,32768,40723,12525,53248,12671,12504,25175,34383,53409,87792,2359.2,1498.8,1835.7,0,0.0
mttkrp_orig_total,16384,20097,12671,32768,40723,12525,53248,12671,12525,25196,34383,53409,87792,2359.2,1501.3,1837.3,0,0.0
mttkrp_ad_pure,16384,326134,1546,327680,0,0,0,1546,24576,26122,221809,320703,542512,44.6,490.5,308.2,196608,36.2
mttkrp_ad_total,16384,326134,1546,327680,654371,989,655360,1546,25565,27111,221809,320703,542512,44.6,510.2,319.8,196608,36.2
mttkrp_orig_pure,16384,322728,201560,524288,653325,198643,851968,201560,197654,399214,584265,947389,1531654,2207.9,1335.3,1668.1,0,0.0
mttkrp_orig_total,16384,322728,201560,524288,653325,198643,851968,201560,198643,400203,584265,947389,1531654,2207.9,1341.9,1672.3,0,0.0
